Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021","Jun '20 Jun 30, 2020",2019 - 2015,,
Operating Revenue,-,-,"75,000","73,000","59,000","102,000",Upgrade,Financials in USD,Fiscal year is July - June
Revenue,-,-,"75,000","73,000","59,000","102,000",Upgrade,Financials in USD,Fiscal year is July - June
Revenue Growth (YoY),-,-,2.740%,23.729%,-42.157%,-99.164%,Upgrade,Financials in USD,Fiscal year is July - June
Cost of Revenue,"-2,000","-108,000",-,"9,000","123,000","-185,000",Upgrade,Financials in USD,Fiscal year is July - June
Gross Profit,"2,000","108,000","75,000","64,000","-64,000","287,000",Upgrade,Financials in USD,Fiscal year is July - June
"Selling, General & Admin","7,644,000","6,989,000","6,382,000","6,646,000","6,512,000","5,567,000",Upgrade,Financials in USD,Fiscal year is July - June
Research & Development,"14,765,000","15,609,000","12,774,000","11,272,000","7,020,000","3,001,000",Upgrade,Financials in USD,Fiscal year is July - June
Operating Expenses,"22,409,000","22,598,000","19,156,000","17,918,000","13,532,000","8,568,000",Upgrade,Financials in USD,Fiscal year is July - June
Operating Income,"-22,407,000","-22,490,000","-19,081,000","-17,854,000","-13,596,000","-8,281,000",Upgrade,Financials in USD,Fiscal year is July - June
Interest Expense,-,-,"-33,000","-32,000","-6,000",-,Upgrade,Financials in USD,Fiscal year is July - June
Interest & Investment Income,"1,514,000","904,000",-,-,-,"62,000",Upgrade,Financials in USD,Fiscal year is July - June
Currency Exchange Gain (Loss),"189,000","40,000","-415,000","-232,000","-333,000","-88,000",Upgrade,Financials in USD,Fiscal year is July - June
Other Non Operating Income (Expenses),"-151,000","-204,000","-30,000","-79,000",-,-,Upgrade,Financials in USD,Fiscal year is July - June
EBT Excluding Unusual Items,"-20,855,000","-21,750,000","-19,559,000","-18,197,000","-13,935,000","-8,307,000",Upgrade,Financials in USD,Fiscal year is July - June
Gain (Loss) on Sale of Investments,"-1,000","-1,000","-3,000","-11,000","16,000","-1,000",Upgrade,Financials in USD,Fiscal year is July - June
Other Unusual Items,-,-,-,-,"37,000","34,000",Upgrade,Financials in USD,Fiscal year is July - June
Pretax Income,"-20,856,000","-21,751,000","-19,562,000","-18,208,000","-13,882,000","-8,274,000",Upgrade,Financials in USD,Fiscal year is July - June
Net Income,"-20,856,000","-21,751,000","-19,562,000","-18,208,000","-13,882,000","-8,274,000",Upgrade,Financials in USD,Fiscal year is July - June
Preferred Dividends & Other Adjustments,-,"619,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Net Income to Common,"-20,856,000","-22,370,000","-19,562,000","-18,208,000","-13,882,000","-8,274,000",Upgrade,Financials in USD,Fiscal year is July - June
Shares Outstanding (Basic),"6,182,049","4,060,182","1,385,818","480,688","252,671","60,070",Upgrade,Financials in USD,Fiscal year is July - June
Shares Outstanding (Diluted),"6,182,049","4,060,182","1,385,818","480,688","252,671","60,070",Upgrade,Financials in USD,Fiscal year is July - June
Shares Change (YoY),250.170%,192.981%,188.299%,90.243%,320.628%,19.191%,Upgrade,Financials in USD,Fiscal year is July - June
EPS (Basic),-3.374,-5.510,-14.116,-37.879,-54.941,-137.739,Upgrade,Financials in USD,Fiscal year is July - June
EPS (Diluted),-3.374,-5.510,-14.116,-37.879,-54.941,-137.739,Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow,"-19,591,000","-19,582,000","-18,013,000","-15,912,000","-13,053,000","-7,630,000",Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow Per Share,-3.169,-4.823,-12.998,-33.103,-51.660,-127.018,Upgrade,Financials in USD,Fiscal year is July - June
Gross Margin,-,-,100.000%,87.671%,-108.475%,281.373%,Upgrade,Financials in USD,Fiscal year is July - June
Operating Margin,-,-,-25441.333%,-24457.534%,-23044.068%,-8118.627%,Upgrade,Financials in USD,Fiscal year is July - June
Profit Margin,-,-,-26082.667%,-24942.466%,-23528.814%,-8111.765%,Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow Margin,-,-,-24017.333%,-21797.260%,-22123.729%,-7480.392%,Upgrade,Financials in USD,Fiscal year is July - June
EBITDA,"-22,314,000","-22,403,000","-18,945,000","-17,687,000","-13,365,000","-8,091,000",Upgrade,Financials in USD,Fiscal year is July - June
D&A For EBITDA,"93,000","87,000","136,000","167,000","231,000","190,000",Upgrade,Financials in USD,Fiscal year is July - June
EBIT,"-22,407,000","-22,490,000","-19,081,000","-17,854,000","-13,596,000","-8,281,000",Upgrade,Financials in USD,Fiscal year is July - June
Revenue as Reported,-,-,-,-,-,"102,000",Upgrade,Financials in USD,Fiscal year is July - June
