Fiscal Quarter,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Operating Revenue,-,-,-,-,-,"7,000","54,000","14,000",-,-,"48,000","25,000",-,"2,000","1,000","1,000","55,000","-35,000","28,000","77,000",Upgrade,Financials in USD,Fiscal year is July - June
Revenue,-,-,-,-,-,"7,000","54,000","14,000",-,-,"48,000","25,000",-,"2,000","1,000","1,000","55,000","-35,000","28,000","77,000",Upgrade,Financials in USD,Fiscal year is July - June
Revenue Growth (YoY),-,-,-,-,-,-,12.500%,-44.000%,-,-,4700.000%,2400.000%,-,-,-96.429%,-98.701%,66.667%,-,-95.000%,-98.629%,Upgrade,Financials in USD,Fiscal year is July - June
Cost of Revenue,-,-,"-3,000","1,000","-106,000",-,-,-,-,"9,000",-,-,-,"1,000","7,000","-19,000","134,000","48,000","47,000","-306,000",Upgrade,Financials in USD,Fiscal year is July - June
Gross Profit,-,-,"3,000","-1,000","106,000","7,000","54,000","14,000",-,"-9,000","48,000","25,000",-,"1,000","-6,000","20,000","-79,000","-83,000","-19,000","383,000",Upgrade,Financials in USD,Fiscal year is July - June
"Selling, General & Admin","2,206,000","2,036,000","1,578,000","1,824,000","1,551,000","1,371,000","1,228,000","1,863,000","1,920,000","1,553,000","1,337,000","1,714,000","2,042,000","1,536,000","1,029,000","2,111,000","1,882,000","1,898,000","1,287,000","1,895,000",Upgrade,Financials in USD,Fiscal year is July - June
Research & Development,"3,585,000","3,512,000","2,566,000","5,102,000","4,429,000","3,186,000","3,167,000","3,761,000","2,660,000","3,176,000","2,171,000","3,146,000","2,780,000","2,320,000","2,758,000","1,168,000","729,000","906,000","805,000","599,000",Upgrade,Financials in USD,Fiscal year is July - June
Operating Expenses,"5,791,000","5,548,000","4,144,000","6,926,000","5,980,000","4,557,000","4,395,000","5,624,000","4,580,000","4,729,000","3,508,000","4,860,000","4,822,000","3,856,000","3,787,000","3,279,000","2,611,000","2,804,000","2,092,000","2,494,000",Upgrade,Financials in USD,Fiscal year is July - June
Operating Income,"-5,791,000","-5,548,000","-4,141,000","-6,927,000","-5,874,000","-4,550,000","-4,341,000","-5,610,000","-4,580,000","-4,738,000","-3,460,000","-4,835,000","-4,822,000","-3,855,000","-3,793,000","-3,259,000","-2,690,000","-2,887,000","-2,111,000","-2,111,000",Upgrade,Financials in USD,Fiscal year is July - June
Interest Expense,-,-,"-4,000","-6,000","-6,000","-8,000","-7,000","-9,000","-9,000","-10,000","-10,000","-11,000","-1,000","-1,000","-2,000","-2,000","-1,000",-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Interest & Investment Income,"604,000","920,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,000","16,000","17,000",Upgrade,Financials in USD,Fiscal year is July - June
Currency Exchange Gain (Loss),"93,000","62,000","-118,000","152,000","-56,000","-24,000","-45,000","161,000","-507,000","-268,000","229,000","48,000","-240,000","-166,000","-112,000",-,"-54,000","-92,000","-7,000","5,000",Upgrade,Financials in USD,Fiscal year is July - June
Other Non Operating Income (Expenses),"35,000","-154,000","-16,000","-16,000","-18,000","-80,000",-,"50,000",-,"-50,000","-29,000",-,-,"-37,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
EBT Excluding Unusual Items,"-5,059,000","-4,720,000","-4,279,000","-6,797,000","-5,954,000","-4,662,000","-4,393,000","-5,408,000","-5,096,000","-5,066,000","-3,270,000","-4,798,000","-5,063,000","-4,059,000","-3,907,000","-3,261,000","-2,745,000","-2,969,000","-2,102,000","-2,089,000",Upgrade,Financials in USD,Fiscal year is July - June
Gain (Loss) on Sale of Investments,-,-,-,"-1,000",-,"1,000","-4,000","-3,000","3,000","-1,000","-5,000","-23,000","18,000","19,000","-2,000","-1,000",-,-,-,"-1,000",Upgrade,Financials in USD,Fiscal year is July - June
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,"37,000",-,"10,000","27,000","34,000",-,-,Upgrade,Financials in USD,Fiscal year is July - June
Pretax Income,"-5,059,000","-4,720,000","-4,279,000","-6,798,000","-5,954,000","-4,661,000","-4,397,000","-5,411,000","-5,093,000","-5,067,000","-3,275,000","-4,821,000","-5,045,000","-4,003,000","-3,909,000","-3,252,000","-2,718,000","-2,935,000","-2,102,000","-2,090,000",Upgrade,Financials in USD,Fiscal year is July - June
Net Income,"-5,059,000","-4,720,000","-4,279,000","-6,798,000","-5,954,000","-4,661,000","-4,397,000","-5,411,000","-5,093,000","-5,067,000","-3,275,000","-4,821,000","-5,045,000","-4,003,000","-3,909,000","-3,252,000","-2,718,000","-2,935,000","-2,102,000","-2,090,000",Upgrade,Financials in USD,Fiscal year is July - June
Preferred Dividends & Other Adjustments,-,"619,000",-,-,"619,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
