Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"3,040,100,000","3,819,000,000","17,310,600,000","18,976,700,000","482,300,000","108,600,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue Growth (YoY),-54.065%,-77.938%,-8.780%,3834.626%,344.107%,-14.874%,Upgrade,Financials in EUR,Fiscal year is January - December
Cost of Revenue,"476,900,000","599,800,000","2,995,000,000","2,911,500,000","59,300,000","17,400,000",Upgrade,Financials in EUR,Fiscal year is January - December
Gross Profit,"2,563,200,000","3,219,200,000","14,315,600,000","16,065,200,000","423,000,000","91,200,000",Upgrade,Financials in EUR,Fiscal year is January - December
"Selling, General & Admin","609,200,000","557,700,000","541,200,000","327,200,000","108,500,000","48,700,000",Upgrade,Financials in EUR,Fiscal year is January - December
Research & Development,"2,220,200,000","1,783,100,000","1,537,000,000","949,200,000","645,000,000","226,500,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Operating Expenses,"174,500,000","-91,200,000","320,500,000","79,500,000","-9,100,000","-2,500,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Expenses,"3,003,900,000","2,249,600,000","2,398,700,000","1,355,900,000","744,400,000","272,700,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Income,"-440,700,000","969,600,000","11,916,900,000","14,709,300,000","-321,400,000","-181,500,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest Expense,"-18,200,000","-7,900,000","-18,900,000","-27,300,000","-2,000,000","-1,700,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest & Investment Income,"357,600,000","357,600,000","48,500,000","1,500,000","1,600,000","1,800,000",Upgrade,Financials in EUR,Fiscal year is January - December
Currency Exchange Gain (Loss),"-422,400,000","-268,000,000","792,400,000","512,500,000","-42,600,000","2,300,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Non Operating Income (Expenses),"303,400,000","162,000,000","216,800,000","-277,800,000","-20,400,000","-300,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBT Excluding Unusual Items,"-220,300,000","1,213,300,000","12,955,700,000","14,918,200,000","-384,800,000","-179,400,000",Upgrade,Financials in EUR,Fiscal year is January - December
Legal Settlements,"-97,600,000","-29,400,000","-3,000,000","-9,000,000",-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Other Unusual Items,"2,200,000","2,200,000","1,400,000","137,200,000","239,000,000",-,Upgrade,Financials in EUR,Fiscal year is January - December
Pretax Income,"-315,700,000","1,186,100,000","12,954,100,000","15,046,400,000","-145,800,000","-179,400,000",Upgrade,Financials in EUR,Fiscal year is January - December
Income Tax Expense,"151,200,000","255,800,000","3,519,700,000","4,753,900,000","-161,000,000","-200,000",Upgrade,Financials in EUR,Fiscal year is January - December
Earnings From Continuing Operations,"-466,900,000","930,300,000","9,434,400,000","10,292,500,000","15,200,000","-179,200,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income to Company,-,"930,300,000","9,434,400,000","10,292,500,000","15,200,000","-179,200,000",Upgrade,Financials in EUR,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,-,-,"100,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income,"-466,900,000","930,300,000","9,434,400,000","10,292,500,000","15,200,000","-179,100,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income to Common,"-466,900,000","930,300,000","9,434,400,000","10,292,500,000","15,200,000","-179,100,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income Growth,-,-90.139%,-8.337%,67613.816%,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Basic),"240,931,299","240,600,000","243,300,000","244,000,000","235,400,000","211,500,000",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Diluted),"240,931,299","242,700,000","249,800,000","259,700,000","248,500,000","211,500,000",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Change (YoY),-0.423%,-2.842%,-3.812%,4.507%,17.494%,10.901%,Upgrade,Financials in EUR,Fiscal year is January - December
EPS (Basic),-1.938,3.867,38.777,42.182,0.065,-0.847,Upgrade,Financials in EUR,Fiscal year is January - December
EPS (Diluted),-1.941,3.830,37.770,39.630,0.060,-0.850,Upgrade,Financials in EUR,Fiscal year is January - December
EPS Growth,-,-89.860%,-4.693%,65950.000%,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow,"1,218,300,000","5,121,300,000","13,248,200,000","762,200,000","-79,500,000","-237,100,000",Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow Per Share,5.057,21.101,53.035,2.935,-0.320,-1.121,Upgrade,Financials in EUR,Fiscal year is January - December
Gross Margin,84.313%,84.294%,82.698%,84.657%,87.705%,83.978%,Upgrade,Financials in EUR,Fiscal year is January - December
Operating Margin,-14.496%,25.389%,68.842%,77.512%,-66.639%,-167.127%,Upgrade,Financials in EUR,Fiscal year is January - December
Profit Margin,-15.358%,24.360%,54.501%,54.238%,3.152%,-164.917%,Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow Margin,40.074%,134.101%,76.532%,4.017%,-16.484%,-218.324%,Upgrade,Financials in EUR,Fiscal year is January - December
EBITDA,"-274,500,000","1,107,800,000","11,981,400,000","14,755,500,000","-289,000,000","-152,300,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBITDA Margin,-9.029%,29.008%,69.214%,77.756%,-59.921%,-140.239%,Upgrade,Financials in EUR,Fiscal year is January - December
D&A For EBITDA,"166,200,000","138,200,000","64,500,000","46,200,000","32,400,000","29,200,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBIT,"-440,700,000","969,600,000","11,916,900,000","14,709,300,000","-321,400,000","-181,500,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBIT Margin,-14.496%,25.389%,68.842%,77.512%,-66.639%,-167.127%,Upgrade,Financials in EUR,Fiscal year is January - December
Effective Tax Rate,-,21.566%,27.171%,31.595%,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Revenue as Reported,"3,819,000,000","3,819,000,000","17,310,600,000","18,976,700,000","482,300,000","108,600,000",Upgrade,Financials in EUR,Fiscal year is January - December
