Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021",,
"Selling, General & Admin","16,418,000","12,159,000","9,310,000","6,023,000",Financials in USD,Fiscal year is January - December
Research & Development,"52,367,000","42,637,000","37,159,000","19,278,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"68,785,000","54,796,000","46,469,000","25,301,000",Financials in USD,Fiscal year is January - December
Operating Income,"-68,785,000","-54,796,000","-46,469,000","-25,301,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"7,597,000","5,282,000","668,000","96,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"129,000","80,000","-100,000","-5,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-61,059,000","-49,434,000","-45,901,000","-25,210,000",Financials in USD,Fiscal year is January - December
Net Income,"-61,059,000","-49,434,000","-45,901,000","-25,210,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-61,059,000","-49,434,000","-45,901,000","-25,210,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"11,713,801","1,216,051","1,097,744","860,564",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"11,713,801","1,216,051","1,097,744","860,564",Financials in USD,Fiscal year is January - December
Shares Change (YoY),881.661%,10.777%,27.561%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-5.213,-40.651,-41.814,-29.295,Financials in USD,Fiscal year is January - December
EPS (Diluted),-5.213,-40.651,-41.814,-29.295,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-59,302,000","-47,488,000","-40,662,000","-25,282,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-5.063,-39.051,-37.041,-29.378,Financials in USD,Fiscal year is January - December
EBITDA,"-67,748,000","-53,839,000","-45,527,000","-24,619,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,037,000","957,000","942,000","682,000",Financials in USD,Fiscal year is January - December
EBIT,"-68,785,000","-54,796,000","-46,469,000","-25,301,000",Financials in USD,Fiscal year is January - December
