Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022",,
"Selling, General & Admin","4,626,000","4,656,000","3,754,000","3,382,000","3,308,000","2,885,000","2,584,000","2,415,000","2,496,000","2,199,500","2,199,500",Financials in USD,Fiscal year is January - December
Research & Development,"14,089,000","14,735,000","13,129,000","10,414,000","11,645,000","11,075,000","9,503,000","9,658,000","10,756,000","8,372,500","8,372,500",Financials in USD,Fiscal year is January - December
Operating Expenses,"18,715,000","19,391,000","16,883,000","13,796,000","14,953,000","13,960,000","12,087,000","12,073,000","13,252,000","10,572,000","10,572,000",Financials in USD,Fiscal year is January - December
Operating Income,"-18,715,000","-19,391,000","-16,883,000","-13,796,000","-14,953,000","-13,960,000","-12,087,000","-12,073,000","-13,252,000","-10,572,000","-10,572,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,174,000","2,382,000","1,421,000","1,620,000","1,748,000","1,551,000","395,000","297,000","224,000","73,500","73,500",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"32,000","33,000","32,000","32,000","32,000","11,000","-27,000","-3,000","-97,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-16,509,000","-16,976,000","-15,430,000","-12,144,000","-13,173,000","-12,398,000","-11,719,000","-11,779,000","-13,125,000","-10,498,500","-10,498,500",Financials in USD,Fiscal year is January - December
Net Income,"-16,509,000","-16,976,000","-15,430,000","-12,144,000","-13,173,000","-12,398,000","-11,719,000","-11,779,000","-13,125,000","-10,498,500","-10,498,500",Financials in USD,Fiscal year is January - December
Net Income to Common,"-16,509,000","-16,976,000","-15,430,000","-12,144,000","-13,173,000","-12,398,000","-11,719,000","-11,779,000","-13,125,000","-10,498,500","-10,498,500",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"22,254,000","22,023,000","1,258,000","1,244,359","1,230,000","1,206,000","1,183,000","1,152,053","1,121,179","1,058,872","1,058,872",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"22,254,000","22,023,000","1,258,000","1,244,359","1,230,000","1,206,000","1,183,000","1,152,053","1,121,179","1,058,872","1,058,872",Financials in USD,Fiscal year is January - December
Shares Change (YoY),1709.268%,1726.119%,6.340%,8.012%,9.706%,13.895%,11.723%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.742,-0.771,-12.265,-9.759,-10.710,-10.280,-9.906,-10.224,-11.706,-9.915,-9.915,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.742,-0.771,-12.265,-9.759,-10.710,-10.280,-9.906,-10.224,-11.706,-9.915,-9.915,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-13,749,000","-17,740,000","-15,859,000","-11,954,000","-12,340,000","-11,018,000","-12,176,000","-10,222,000","-10,914,000","-9,763,000","-9,763,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.618,-0.806,-12.607,-9.607,-10.033,-9.136,-10.292,-8.873,-9.734,-9.220,-9.220,Financials in USD,Fiscal year is January - December
EBITDA,"-18,453,000","-19,126,000","-16,620,000","-13,549,000","-14,718,000","-13,722,000","-11,850,000","-11,834,000","-13,006,000","-10,343,500","-10,343,500",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"262,000","265,000","263,000","247,000","235,000","238,000","237,000","239,000","246,000","228,500","228,500",Financials in USD,Fiscal year is January - December
EBIT,"-18,715,000","-19,391,000","-16,883,000","-13,796,000","-14,953,000","-13,960,000","-12,087,000","-12,073,000","-13,252,000","-10,572,000","-10,572,000",Financials in USD,Fiscal year is January - December
