Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"128,184,000","138,157,000","96,116,000","71,957,000","56,566,000","57,570,000","63,287,000","38,781,000","65,977,000","36,547,000","62,731,000","107,021,000","24,188,000","27,295,000","21,576,000","34,106,000","745,118,000","8,343,000","6,167,000","51,533,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),126.610%,139.981%,51.873%,85.547%,-14.264%,57.523%,0.886%,-63.763%,172.767%,33.896%,190.744%,213.789%,-96.754%,227.160%,249.862%,-33.817%,8053.168%,63.268%,744.795%,4888.674%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"1,932,000","7,593,000","3,191,000","215,000","4,553,000","3,557,000","4,471,000","6,720,000","4,665,000","7,031,000","8,344,000","12,081,000","7,059,000","6,493,000","102,000","128,000","146,000","91,206,000","84,170,000","88,646,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"126,252,000","130,564,000","92,925,000","71,742,000","52,013,000","54,013,000","58,816,000","32,061,000","61,312,000","29,516,000","54,387,000","94,940,000","17,129,000","20,802,000","21,474,000","33,978,000","744,972,000","-82,863,000","-78,003,000","-37,113,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","89,926,000","89,339,000","83,557,000","79,315,000","70,741,000","71,931,000","70,950,000","64,020,000","57,608,000","58,688,000","57,058,000","54,200,000","49,806,000","49,286,000","42,002,000","42,540,000","37,375,000","42,174,000","35,655,000","32,265,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"85,300,000","84,270,000","88,191,000","97,536,000","110,252,000","110,063,000","112,073,000","117,840,000","127,981,000","128,466,000","103,133,000","356,876,000","84,419,000","80,027,000","79,710,000","77,404,000","74,230,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"175,226,000","173,609,000","171,748,000","176,851,000","180,993,000","181,994,000","183,023,000","181,860,000","185,589,000","187,154,000","160,191,000","411,076,000","134,225,000","129,313,000","121,712,000","119,944,000","111,605,000","42,174,000","35,655,000","32,265,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-48,974,000","-43,045,000","-78,823,000","-105,109,000","-128,980,000","-127,981,000","-124,207,000","-149,799,000","-124,277,000","-157,638,000","-105,804,000","-316,136,000","-117,096,000","-108,511,000","-100,238,000","-85,966,000","633,367,000","-125,037,000","-113,658,000","-69,378,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-18,766,000","-16,800,000","-15,073,000","-22,978,000","-13,137,000","-11,745,000","-11,719,000","-10,222,000","-11,346,000","-6,000",-,-,-,-,-,-,-,-,-,"-1,959,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"11,150,000","9,936,000","9,178,000","343,000","9,329,000","7,749,000","5,900,000",-,"2,950,000","433,000","442,000","1,824,000","552,000","633,000","738,000","1,402,000","1,173,000","1,586,000","2,904,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-,-,"1,109,000","-522,000","-373,000","-214,000","50,000","-192,000","-23,000","-201,000","57,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"587,000","-1,000","376,000","-577,000","-728,000","-626,000","986,000","1,429,000","396,000","632,000","-453,000","-1,489,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-56,003,000","-49,910,000","-84,342,000","-128,321,000","-133,516,000","-132,603,000","-129,040,000","-158,592,000","-132,277,000","-156,579,000","-105,815,000","-314,692,000","-117,066,000","-108,251,000","-99,714,000","-84,514,000","634,348,000","-123,474,000","-110,955,000","-71,280,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"17,466,000",-,-,-,"982,000",-,-,-,"-1,361,000",-,-,-,"-466,000",-,-,-,"4,949,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"18,000","173,658,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-56,003,000","-49,892,000","89,316,000","-110,855,000","-133,516,000","-132,603,000","-129,040,000","-157,610,000","-132,277,000","-156,579,000","-105,815,000","-316,053,000","-117,066,000","-108,251,000","-99,714,000","-84,980,000","634,348,000","-123,474,000","-110,955,000","-66,331,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"273,000","102,000","180,000","61,000","197,000","190,000","520,000","1,036,000","886,000","3,130,000","184,000","2,633,000","175,000","193,000",-,"688,000","370,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-56,276,000","-49,994,000","89,136,000","-110,916,000","-133,713,000","-132,793,000","-129,560,000","-158,646,000","-133,163,000","-159,709,000","-105,999,000","-318,686,000","-117,241,000","-108,444,000","-99,714,000","-85,668,000","633,978,000","-123,474,000","-110,955,000","-66,331,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-56,276,000","-49,994,000","89,136,000","-110,916,000","-133,713,000","-132,793,000","-129,560,000","-158,646,000","-133,163,000","-159,709,000","-105,999,000","-318,686,000","-117,241,000","-108,444,000","-99,714,000","-85,668,000","633,978,000","-123,474,000","-110,955,000","-66,331,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"63,381,000","62,854,000","61,580,000","60,890,000","60,688,000","60,516,000","60,126,000","59,873,000","59,758,000","59,617,000","59,312,000","58,985,000","58,647,000","58,406,000","58,023,000","56,072,000","55,169,000","54,217,000","52,655,000","49,218,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"63,381,000","62,854,000","63,802,000","60,890,000","60,688,000","60,516,000","60,126,000","59,873,000","59,758,000","59,617,000","59,312,000","58,985,000","58,647,000","58,406,000","58,023,000","56,072,000","56,786,000","54,217,000","52,655,000","49,218,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),4.437%,3.863%,6.114%,1.699%,1.556%,1.508%,1.372%,1.505%,1.894%,2.073%,2.222%,5.195%,3.277%,7.726%,10.195%,13.926%,16.077%,11.003%,19.407%,11.874%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.888,-0.795,1.447,-1.822,-2.203,-2.194,-2.155,-2.650,-2.228,-2.679,-1.787,-5.403,-1.999,-1.857,-1.719,-1.528,11.492,-2.277,-2.107,-1.348,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.888,-0.800,1.400,-1.822,-2.203,-2.194,-2.155,-2.650,-2.230,-2.679,-1.787,-5.403,-2.000,-1.857,-1.719,-1.528,11.160,-2.277,-2.107,-1.349,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-13,662,000","-50,641,000","-102,617,000","-83,601,000","-110,734,000","-133,029,000","-125,545,000","-122,886,000","-133,619,000","-120,812,000","-133,879,000","-15,372,000","-96,592,000","-63,827,000","-125,951,000","-25,486,000","622,320,000","-102,105,000","-110,853,000","-48,786,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.216,-0.806,-1.608,-1.373,-1.825,-2.198,-2.088,-2.052,-2.236,-2.026,-2.257,-0.261,-1.647,-1.093,-2.171,-0.455,10.959,-1.883,-2.105,-0.991,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,98.493%,94.504%,96.680%,99.701%,91.951%,93.821%,92.935%,82.672%,92.929%,80.762%,86.699%,88.712%,70.816%,76.212%,99.527%,99.625%,99.980%,-,-,-72.018%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-38.206%,-31.157%,-82.008%,-146.072%,-228.017%,-222.305%,-196.260%,-386.269%,-188.364%,-431.330%,-168.663%,-295.396%,-484.108%,-397.549%,-464.581%,-252.055%,85.002%,-1498.706%,-1843.003%,-134.628%,Upgrade,Financials in USD,Fiscal year is January - December
