Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
"Selling, General & Admin","4,646,000","4,235,000","4,736,000","4,533,000","4,330,000","4,108,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"7,754,000","11,608,000","9,165,000","5,910,000","6,578,000","4,585,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"12,400,000","15,843,000","13,901,000","10,443,000","10,908,000","8,693,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-12,400,000","-15,843,000","-13,901,000","-10,443,000","-10,908,000","-8,693,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"14,000","36,000","33,000","3,000","26,000","94,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,873,000","-271,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-10,513,000","-16,078,000","-13,868,000","-10,440,000","-10,882,000","-8,599,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-10,513,000","-16,078,000","-13,868,000","-10,440,000","-10,882,000","-8,599,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-10,513,000","-16,078,000","-13,868,000","-10,440,000","-10,882,000","-8,599,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-10,513,000","-16,078,000","-13,868,000","-10,440,000","-10,882,000","-8,599,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,475,500","478,000","364,000","336,250","192,350","132,850",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,475,500","478,000","364,000","336,250","192,350","132,850",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),251.101%,31.319%,8.253%,74.812%,44.787%,345.059%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-7.125,-33.636,-38.099,-31.048,-56.574,-64.727,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-7.125,-33.636,-38.120,-31.048,-56.574,-64.727,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-9,508,000","-11,535,000","-15,124,000","-9,987,000","-10,960,000","-8,361,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-6.444,-24.132,-41.549,-29.701,-56.979,-62.936,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-12,350,000","-15,761,000","-13,813,000","-10,367,000","-10,836,000","-8,559,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"50,000","82,000","88,000","76,000","72,000","134,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-12,400,000","-15,843,000","-13,901,000","-10,443,000","-10,908,000","-8,693,000",Upgrade,Financials in USD,Fiscal year is January - December
