Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"377,000","145,800","119,800","46,000","77,000","130,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),189.555%,21.703%,160.435%,-40.260%,-40.769%,17.117%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"24,733",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"352,267","145,800","119,800","46,000","77,000","130,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","7,657,375","11,331,983","15,580,473","25,624,815","1,952,247","6,839,667",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"4,780,626","4,034,591","3,513,352","729,058","876,829","1,722,338",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"12,438,001","15,366,574","19,093,825","26,353,873","2,829,076","8,562,005",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-12,085,734","-15,220,774","-18,974,025","-26,307,873","-2,752,076","-8,432,005",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-1,815,366","-1,640,145","-5,139,039",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"873,312","552,293","11,650",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-146,503","4,250,777","5,490,079",-,"-2,141,069","818,270",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-11,358,925","-10,417,704","-13,472,296","-28,123,239","-6,533,290","-12,752,774",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"1,711,698",-,"250,000","-16,180,056","-4,739,397","-1,895,116",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-9,647,227","-10,417,704","-13,222,296","-44,303,295","-11,272,687","-14,647,890",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-9,647,227","-10,417,704","-13,222,296","-44,303,295","-11,272,687","-14,647,890",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-9,647,227","-10,417,704","-13,222,296","-44,303,295","-11,272,687","-14,647,890",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"6,904,444","4,218,347","3,617,858","1,187,741","394,705",-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"6,904,444","4,218,347","3,617,858","1,187,741","394,705",-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),74.262%,16.598%,204.600%,200.919%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.397,-2.470,-3.655,-37.300,-28.560,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.397,-2.470,-3.655,-37.300,-28.560,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-7,634,242","-6,601,254","-6,178,323","-3,360,566","-1,964,265","-6,954,365",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.106,-1.565,-1.708,-2.829,-4.977,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,93.439%,100.000%,100.000%,100.000%,100.000%,100.000%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-3205.765%,-10439.488%,-15838.084%,-57191.028%,-3574.125%,-6486.158%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-2558.946%,-7145.202%,-11036.975%,-96311.511%,-14639.853%,-11267.608%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-2024.998%,-4527.609%,-5157.198%,-7305.578%,-2550.994%,-5349.512%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-11,904,334","-15,055,039","-18,853,480","-26,218,765","-2,630,692","-8,214,646",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"181,400","165,735","120,545","89,108","121,384","217,359",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-12,085,734","-15,220,774","-18,974,025","-26,307,873","-2,752,076","-8,432,005",Upgrade,Financials in USD,Fiscal year is January - December
