Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+7 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+7 Quarters,,
"Selling, General & Admin","6,756,000","6,852,000","6,077,000","5,741,000","4,881,000","4,093,000","4,521,000","3,902,000","3,562,000","3,546,000","3,829,000","3,974,000","3,394,000","3,295,000","3,156,000","3,821,000","2,766,000","2,861,000","3,275,000","3,012,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"26,290,000","23,427,000","21,954,000","17,405,000","13,787,000","11,797,000","12,435,000","12,400,000","8,216,000","9,514,000","9,170,000","9,919,000","8,169,000","7,850,000","6,556,000","5,509,000","5,650,000","5,331,000","4,620,000","2,848,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"33,046,000","30,279,000","28,031,000","23,146,000","18,668,000","15,890,000","16,956,000","16,302,000","11,778,000","13,060,000","12,999,000","13,893,000","11,563,000","11,145,000","9,712,000","9,330,000","8,416,000","8,192,000","7,895,000","5,860,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-33,046,000","-30,279,000","-28,031,000","-23,146,000","-18,668,000","-15,890,000","-16,956,000","-16,302,000","-11,778,000","-13,060,000","-12,999,000","-13,893,000","-11,563,000","-11,145,000","-9,712,000","-9,330,000","-8,416,000","-8,192,000","-7,895,000","-5,860,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,417,000","2,677,000","2,984,000","2,260,000","2,220,000","1,403,000","1,102,000","610,000","351,000","150,000","53,000","5,000","3,000","6,000","10,000","21,000","23,000","40,000","410,000","457,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-30,629,000","-27,602,000","-25,047,000","-20,886,000","-16,448,000","-14,487,000","-15,854,000","-15,692,000","-11,427,000","-12,910,000","-12,946,000","-13,888,000","-11,560,000","-11,139,000","-9,702,000","-9,309,000","-8,393,000","-8,152,000","-7,485,000","-5,403,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-30,629,000","-27,602,000","-25,047,000","-20,886,000","-16,448,000","-14,487,000","-15,854,000","-15,692,000","-11,427,000","-12,910,000","-12,946,000","-13,888,000","-11,560,000","-11,139,000","-9,702,000","-9,309,000","-8,393,000","-8,152,000","-7,485,000","-5,403,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-30,629,000","-27,602,000","-25,047,000","-20,886,000","-16,448,000","-14,487,000","-15,854,000","-15,692,000","-11,427,000","-12,910,000","-12,946,000","-13,888,000","-11,560,000","-11,139,000","-9,702,000","-9,309,000","-8,393,000","-8,152,000","-7,485,000","-5,403,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-30,629,000","-27,602,000","-25,047,000","-20,886,000","-16,448,000","-14,487,000","-15,854,000","-15,692,000","-11,427,000","-12,910,000","-12,946,000","-13,888,000","-11,560,000","-11,139,000","-9,702,000","-9,309,000","-8,393,000","-8,152,000","-7,485,000","-5,403,000",Upgrade,Financials in USD,Fiscal year is January - December
