Fiscal Year,TTM,FY 2023,FY 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022",,
Revenue,-,"350,000",-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"37,927,000","39,061,000","34,095,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-37,927,000","-38,711,000","-34,095,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","13,048,000","11,613,000","10,230,000",Financials in USD,Fiscal year is January - December
Research & Development,"1,555,000","1,555,000","676,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"14,603,000","13,168,000","10,906,000",Financials in USD,Fiscal year is January - December
Operating Income,"-52,530,000","-51,879,000","-45,001,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,290,000","2,808,000","904,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-262,000","-220,000","-95,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-51,502,000","-49,291,000","-44,192,000",Financials in USD,Fiscal year is January - December
Net Income,"-51,502,000","-49,291,000","-44,192,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-51,502,000","-49,291,000","-44,192,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"484,828","394,976","312,296",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"484,828","394,976","312,296",Financials in USD,Fiscal year is January - December
Shares Change (YoY),55.246%,26.475%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-106.227,-124.795,-141.507,Financials in USD,Fiscal year is January - December
EPS (Diluted),-106.227,-124.795,-141.507,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-46,478,000","-44,833,000","-42,568,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-95.865,-113.508,-136.307,Financials in USD,Fiscal year is January - December
Operating Margin,-,-14822.571%,-,Financials in USD,Fiscal year is January - December
Profit Margin,-,-14083.143%,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-12809.429%,-,Financials in USD,Fiscal year is January - December
EBITDA,"-50,817,000","-50,201,000","-44,123,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,713,000","1,678,000","878,000",Financials in USD,Fiscal year is January - December
EBIT,"-52,530,000","-51,879,000","-45,001,000",Financials in USD,Fiscal year is January - December
