Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"667,000","743,000","810,000","853,000","763,000","2,032,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-15.889%,-8.272%,-5.041%,11.796%,-62.451%,-46.806%,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"667,000","743,000","810,000","853,000","763,000","2,032,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,009,000","2,955,000","3,143,000","3,845,000","2,951,000","3,063,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"5,451,000","5,983,000","7,763,000","9,850,000","11,951,000","10,976,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"8,460,000","8,938,000","10,906,000","13,695,000","14,902,000","14,039,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-7,793,000","-8,195,000","-10,096,000","-12,842,000","-14,139,000","-12,007,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,"-363,000","-427,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"367,000","506,000","222,000","24,000","44,000","72,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"58,000","58,000","-54,000","59,000","27,000","-33,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-14,000","-14,000","-16,000","-18,000","-23,000","-21,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-7,382,000","-7,645,000","-9,944,000","-12,777,000","-14,454,000","-12,416,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"11,000","11,000","-229,000","162,000","11,000","-209,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-7,371,000","-7,634,000","-10,173,000","-12,615,000","-14,443,000","-12,625,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-7,371,000","-7,634,000","-10,173,000","-12,615,000","-14,443,000","-12,625,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-7,371,000","-7,634,000","-10,173,000","-12,615,000","-14,443,000","-12,625,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,"2,590,000","715,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-7,371,000","-7,634,000","-10,173,000","-15,205,000","-15,158,000","-12,625,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,587,930,949","1,278,333,912","815,746,293","553,079,638","358,411,297","85,909,859",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,587,930,949","1,278,333,912","815,746,293","553,079,638","358,411,297","85,909,859",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),57.388%,56.707%,47.492%,54.314%,317.195%,120.835%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.005,-0.006,-0.012,-0.027,-0.042,-0.147,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.005,-0.006,-0.012,-0.027,-0.042,-0.147,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-7,435,000","-8,442,000","-10,810,000","-9,869,000","-12,089,000","-11,087,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.005,-0.007,-0.013,-0.018,-0.034,-0.129,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-1168.366%,-1102.961%,-1246.420%,-1505.510%,-1853.080%,-590.896%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-1105.097%,-1027.456%,-1255.926%,-1782.532%,-1986.632%,-621.309%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1114.693%,-1136.205%,-1334.568%,-1156.975%,-1584.404%,-545.620%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-7,785,000","-8,180,000","-10,082,000","-12,828,000","-14,127,000","-11,993,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"8,000","15,000","14,000","14,000","12,000","14,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-7,793,000","-8,195,000","-10,096,000","-12,842,000","-14,139,000","-12,007,000",Upgrade,Financials in USD,Fiscal year is January - December
