Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Operating Revenue,"5,115,000","20,269,000","41,867,000","23,028,000","135,082,000","19,886,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Revenue,"3,571,000","699,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"8,686,000","20,968,000","41,867,000","23,028,000","135,082,000","19,886,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-59.077%,-49.918%,81.809%,-82.953%,579.282%,47.643%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"111,110,000","113,547,000","98,008,000","81,564,000","107,070,000","113,164,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-102,424,000","-92,579,000","-56,141,000","-58,536,000","28,012,000","-93,278,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","26,938,000","28,916,000","31,394,000","30,547,000","22,627,000","18,401,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"-20,037,000","28,916,000","31,394,000","30,547,000","22,627,000","18,401,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-82,387,000","-121,495,000","-87,535,000","-89,083,000","5,385,000","-111,679,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-6,456,000","-604,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"2,497,000","3,186,000","2,325,000","1,394,000","2,216,000","3,109,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-86,346,000","-118,913,000","-85,210,000","-87,689,000","7,601,000","-108,570,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"784,000","400,000","-264,000","-822,000","118,000","1,381,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"70,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-95,525,000","-118,513,000","-85,474,000","-88,441,000","7,719,000","-107,189,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,"-691,000","-816,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-95,525,000","-118,513,000","-85,474,000","-88,441,000","8,410,000","-106,373,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-95,525,000","-118,513,000","-85,474,000","-88,441,000","8,410,000","-106,373,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"4,554,988","4,512,420","4,471,129","4,226,562","3,951,103","3,555,776",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"4,554,988","4,512,420","4,471,129","4,226,562","3,992,918","3,555,776",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),1.279%,0.924%,5.786%,5.851%,12.294%,18.880%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-20.972,-26.264,-19.117,-20.925,2.129,-29.916,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-20.986,-26.280,-19.117,-20.925,2.129,-29.916,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-77,342,000","-94,453,000","-78,773,000","-60,126,000","-5,836,000","-109,243,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-16.980,-20.932,-17.618,-14.226,-1.462,-30.723,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-134.094%,-254.195%,20.737%,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-948.503%,-579.431%,-209.079%,-386.846%,3.986%,-561.596%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-1099.758%,-565.209%,-204.156%,-384.059%,6.226%,-534.914%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-890.421%,-450.463%,-188.151%,-261.100%,-4.320%,-549.346%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-82,113,000","-121,236,000","-87,287,000","-88,835,000","5,594,000","-111,481,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-208.486%,-,4.141%,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"274,000","259,000","248,000","248,000","209,000","198,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-82,387,000","-121,495,000","-87,535,000","-89,083,000","5,385,000","-111,679,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-209.079%,-,3.986%,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"8,686,000","20,968,000","41,867,000","23,028,000","135,082,000","19,886,000",Upgrade,Financials in USD,Fiscal year is January - December
