Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Operating Revenue,"1,298,000",-,"1,512,000","2,305,000","4,866,000","6,933,000","6,165,000","3,261,000","10,813,000","23,003,000","4,790,000","821,000","20,272,000",-,"1,935,000","112,089,000","9,266,000","5,634,000","8,093,000","4,511,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Revenue,"1,258,000","991,000","623,000","699,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"2,556,000","991,000","2,135,000","3,004,000","4,866,000","6,933,000","6,165,000","3,261,000","10,813,000","23,003,000","4,790,000","821,000","20,272,000",-,"1,935,000","112,089,000","9,266,000","5,634,000","8,093,000","4,511,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-47.472%,-85.706%,-65.369%,-7.881%,-54.999%,-69.860%,28.706%,297.199%,-46.660%,-,147.545%,-99.268%,118.778%,-,-76.090%,2384.793%,60.173%,8.180%,84.687%,-18.471%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"1,020,000","10,797,000","22,584,000","27,886,000","1,558,000","31,444,000","26,640,000","27,003,000","27,746,000","19,905,000","23,070,000","21,694,000","15,514,000","25,225,000","19,131,000","32,554,000","19,299,000","26,108,000","33,536,000","29,864,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"1,536,000","-9,806,000","-20,449,000","-24,882,000","3,308,000","-24,511,000","-20,475,000","-23,742,000","-16,933,000","3,098,000","-18,280,000","-20,873,000","4,758,000","-25,225,000","-17,196,000","79,535,000","-10,033,000","-20,474,000","-25,443,000","-25,353,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","6,475,000","6,408,000","6,816,000","7,725,000","7,040,000","7,829,000","7,175,000","7,565,000","6,912,000","7,570,000","9,631,000","12,649,000","5,882,000","5,651,000","6,365,000","7,440,000","5,219,000","5,410,000","4,558,000","4,617,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"1,362,000",-,-,-,"25,166,000",-,-,-,-,-,-,-,-,-,-,"-6,195,000","1,768,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"7,837,000","6,408,000","6,816,000","7,725,000","32,206,000","7,829,000","7,175,000","7,565,000","6,912,000","7,570,000","9,631,000","12,649,000","5,882,000","5,651,000","6,365,000","1,245,000","6,987,000","5,410,000","4,558,000","4,617,000",Upgrade,Financials in USD,Fiscal year is January - December
