Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"7,793,000","3,979,000","3,409,000","6,874,000","8,838,000","9,820,000","8,347,000","15,259,000","10,213,000","8,573,000","9,062,000","9,158,000","8,112,000","7,162,000","5,736,000","4,822,000","4,242,000","2,671,000","3,406,000","1,344,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-11.824%,-59.481%,-59.159%,-54.951%,-13.463%,14.546%,-7.890%,66.619%,25.900%,19.701%,57.985%,89.921%,91.231%,168.139%,68.409%,258.780%,52.207%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"3,748,000","1,912,000","1,603,000","2,815,000","3,648,000","3,986,000","3,378,000","4,272,000","4,247,000","3,550,000","3,758,000","3,800,000","3,417,000","2,982,000","2,358,000","1,952,000","1,828,000","2,517,000","3,211,000","1,287,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"4,045,000","2,067,000","1,806,000","4,059,000","5,190,000","5,834,000","4,969,000","10,987,000","5,966,000","5,023,000","5,304,000","5,358,000","4,695,000","4,180,000","3,378,000","2,870,000","2,414,000","154,000","195,000","57,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","10,609,000","10,367,000","8,550,000","11,570,000","8,039,000","12,521,000","9,707,000","11,840,000","8,415,000","8,918,000","8,602,000","12,649,000","8,692,000","8,848,000","8,217,000","9,107,000","7,409,000","5,642,000","5,318,000","8,795,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"1,521,000","1,254,000","2,476,000","2,314,000","2,399,000","2,614,000","2,534,000","4,248,000","3,905,000","3,851,000","3,992,000","4,014,000","2,895,000","2,255,000","5,258,000","3,788,000","2,803,000","1,862,000","3,017,000","1,965,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,"-6,366,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"12,130,000","11,621,000","11,026,000","7,518,000","10,438,000","15,135,000","12,241,000","16,088,000","12,320,000","12,769,000","12,594,000","16,663,000","11,587,000","11,103,000","13,475,000","12,895,000","10,212,000","7,504,000","8,335,000","10,760,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-8,085,000","-9,554,000","-9,220,000","-3,459,000","-5,248,000","-9,301,000","-7,272,000","-5,101,000","-6,354,000","-7,746,000","-7,290,000","-11,305,000","-6,892,000","-6,923,000","-10,097,000","-10,025,000","-7,798,000","-7,350,000","-8,140,000","-10,703,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-61,000","-55,000","-61,000",-,-,-,-,-,"-13,000",-,-,"-2,900",-,-,-,-,"-12,000",-700,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,"112,000","161,000","139,000","202,000","26,000",-,"40,000","74,000","62,900","79,000","76,000","106,000","91,000","444,000","153,700","190,000","279,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"-1,116,000",-,-,"-1,000","-15,000","-15,000","-17,000","-846,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-379,000","265,000","-235,000","32,000","153,000","-44,000","59,000","916,000","637,000","1,355,000","333,000","32,000","-6,000","76,000","219,000","-977,000","-526,000","-115,000","363,000","-452,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-5,000","18,000","158,000","-1,135,000","473,000","89,000","1,337,000","-16,000","11,000","11,000","38,000","18,193","15,000","33,000","20,000","35,000","20,000","27,000",-,"5,000",Upgrade,Financials in USD,Fiscal year is January - December
