Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2015,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2015,,
Revenue,"4,153,000","1,817,000","157,000","25,987,000","23,851,000","7,296,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),449.339%,1057.325%,-99.396%,8.956%,226.905%,2991.525%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,"28,557,000","35,127,000","9,280,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"4,153,000","1,817,000","157,000","-2,570,000","-11,276,000","-1,984,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","24,682,000","16,314,000","10,974,000","15,427,000","20,789,000","25,476,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"46,804,000","35,667,000","11,553,000","11,335,000","11,082,000","12,213,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"71,486,000","51,981,000","22,527,000","26,762,000","31,871,000","37,689,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-67,333,000","-50,164,000","-22,370,000","-29,332,000","-43,147,000","-39,673,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-34,092,000","-18,892,000","-87,000","-1,431,000","-1,435,000","-1,490,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"690,000","527,000",-,"17,000","557,000","1,600,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"8,988,000","-395,000","5,566,000","19,000","-126,000","-49,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-91,747,000","-68,924,000","-16,891,000","-30,727,000","-44,151,000","-39,612,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-11,500,000","-19,300,000",-,-,"-685,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,"-331,800,000","-150,368,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-99,051,000","-99,051,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"1,528,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-534,098,000","-337,643,000","-16,891,000","-29,199,000","-44,836,000","-39,612,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"19,000","-4,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-534,117,000","-337,639,000","-16,891,000","-29,199,000","-44,836,000","-39,612,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"88,717,000","70,012,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-445,400,000","-267,627,000","-16,891,000","-29,199,000","-44,836,000","-39,612,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-445,400,000","-267,627,000","-16,891,000","-29,199,000","-44,836,000","-39,612,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"20,909,689","10,314,554","919,959","749,515","677,648","656,114",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"20,909,689","10,314,554","919,959","749,515","677,648","656,114",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),235.807%,1021.197%,22.741%,10.605%,3.282%,6.917%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-21.301,-25.947,-18.361,-38.957,-66.164,-60.374,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-21.301,-25.947,-18.361,-38.957,-66.164,-60.374,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-62,266,000","-50,531,000","-20,884,000","-19,308,000","-45,458,000","-34,920,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.978,-4.899,-22.701,-25.761,-67.082,-53.222,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,-9.889%,-47.277%,-27.193%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-1621.310%,-2760.815%,-14248.408%,-112.872%,-180.902%,-543.764%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-10724.777%,-14729.059%,-10758.599%,-112.360%,-187.984%,-542.928%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1499.302%,-2781.013%,-13301.911%,-74.299%,-190.592%,-478.618%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-60,304,000","-45,471,000","-20,836,000","-26,994,000","-41,278,000","-38,066,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-103.875%,-173.066%,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"7,029,000","4,693,000","1,534,000","2,338,000","1,869,000","1,607,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-67,333,000","-50,164,000","-22,370,000","-29,332,000","-43,147,000","-39,673,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-112.872%,-180.902%,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"4,153,000","1,817,000","157,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
