Fiscal Quarter,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Oct '24 Oct 31, 2024","Jul '24 Jul 31, 2024","Apr '24 Apr 30, 2024","Jan '24 Jan 31, 2024","Oct '23 Oct 31, 2023","Jul '23 Jul 31, 2023","Apr '23 Apr 30, 2023","Jan '23 Jan 31, 2023","Oct '22 Oct 31, 2022","Jul '22 Jul 31, 2022","Apr '22 Apr 30, 2022","Jan '22 Jan 31, 2022","Oct '21 Oct 31, 2021","Jul '21 Jul 31, 2021","Apr '21 Apr 30, 2021","Jan '21 Jan 31, 2021","Oct '20 Oct 31, 2020","Jul '20 Jul 31, 2020","Apr '20 Apr 30, 2020","Jan '20 Jan 31, 2020",+20 Quarters,,
Revenue,"33,482,000","40,173,000","42,975,000","33,815,000","25,395,000","37,726,000","39,799,000","38,018,000","34,757,000","36,692,000","31,226,000","31,508,000","26,109,000","30,754,000","27,606,000","21,806,000","21,064,000","25,392,000","12,550,000","13,585,000",Upgrade,Financials in USD,Fiscal year is May - April
Revenue Growth (YoY),31.845%,6.486%,7.980%,-11.055%,-26.936%,2.818%,27.455%,20.661%,33.123%,19.308%,13.113%,44.492%,23.951%,21.117%,119.968%,60.515%,15.022%,66.461%,-26.415%,-1.422%,Upgrade,Financials in USD,Fiscal year is May - April
Cost of Revenue,"35,527,000","34,460,000","37,475,000","31,432,000","30,060,000","33,626,000","31,408,000","28,193,000","30,610,000","27,575,000","24,242,000","22,421,000","16,923,000","19,363,000","19,463,000","15,604,000","14,646,000","16,848,000","13,849,000","12,800,000",Upgrade,Financials in USD,Fiscal year is May - April
Gross Profit,"-2,045,000","5,713,000","5,500,000","2,383,000","-4,665,000","4,100,000","8,391,000","9,825,000","4,147,000","9,117,000","6,984,000","9,087,000","9,186,000","11,391,000","8,143,000","6,202,000","6,418,000","8,544,000","-1,299,000","785,000",Upgrade,Financials in USD,Fiscal year is May - April
"Selling, General & Admin","10,586,000","8,169,000","6,794,000","6,382,000","6,557,000","6,263,000","7,459,000","7,107,000","6,831,000","6,382,000","5,915,000","5,818,000","5,033,000","4,460,000","5,055,000","4,018,000","4,166,000","3,825,000","3,528,000","2,996,000",Upgrade,Financials in USD,Fiscal year is May - April
Operating Expenses,"10,586,000","8,169,000","6,794,000","6,382,000","6,557,000","6,263,000","7,459,000","7,107,000","6,831,000","6,382,000","5,915,000","5,818,000","5,033,000","4,460,000","5,055,000","4,018,000","4,166,000","3,825,000","3,528,000","2,996,000",Upgrade,Financials in USD,Fiscal year is May - April
Operating Income,"-12,631,000","-2,456,000","-1,294,000","-3,999,000","-11,222,000","-2,163,000","932,000","2,718,000","-2,684,000","2,735,000","1,069,000","3,269,000","4,153,000","6,931,000","3,088,000","2,184,000","2,252,000","4,719,000","-4,827,000","-2,211,000",Upgrade,Financials in USD,Fiscal year is May - April
Interest Expense,"-3,276,000","-2,454,000","-1,810,000","-875,000","-827,000","-825,000","-1,368,000","-636,000","-877,000","-841,000","-555,000","-718,000","-704,000","-703,000","-1,160,000",-,-,"-4,000","-8,000",-,Upgrade,Financials in USD,Fiscal year is May - April
Interest & Investment Income,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"32,000","15,000","67,000","107,000",Upgrade,Financials in USD,Fiscal year is May - April
