Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"64,446,000","70,143,000","138,590,000","104,754,000","69,056,000","68,458,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-12.860%,-49.388%,32.300%,51.694%,0.874%,12.978%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"60,894,000","71,694,000","118,132,000","78,128,000","57,927,000","49,505,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"3,552,000","-1,551,000","20,458,000","26,626,000","11,129,000","18,953,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","54,284,000","53,250,000","52,172,000","49,323,000","35,049,000","31,502,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"54,284,000","53,250,000","52,172,000","49,323,000","35,049,000","31,502,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-50,732,000","-54,801,000","-31,714,000","-22,697,000","-23,920,000","-12,549,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,636,000","4,172,000","1,441,000","459,000","405,000","1,287,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-59,000","-59,000","-76,000","1,148,000","-156,000","-156,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-49,611,000","-50,688,000","-30,349,000","-21,090,000","-23,671,000","-11,418,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,"-3,284,000","-3,167,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,"22,000","-778,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-12,250,000","-12,215,000","200,000",-,-,"-500,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-187,000","-9,206,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-62,026,000","-76,171,000","-33,316,000","-21,090,000","-23,671,000","-11,918,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"66,000","69,000","276,000","189,000","339,000","17,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-62,092,000","-76,240,000","-33,592,000","-21,279,000","-24,010,000","-11,935,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-62,092,000","-76,240,000","-33,592,000","-21,279,000","-24,010,000","-11,935,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"70,447,750","68,131,000","65,344,000","64,568,000","59,360,000","56,525,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"70,447,750","68,131,000","65,344,000","64,568,000","59,360,000","56,525,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),4.922%,4.265%,1.202%,8.774%,5.015%,8.275%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.881,-1.119,-0.514,-0.330,-0.404,-0.211,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.881,-1.119,-0.514,-0.330,-0.404,-0.211,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-46,130,000","-57,056,000","2,977,000","-28,095,000","-20,212,000","-16,290,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.655,-0.837,0.046,-0.435,-0.340,-0.288,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,5.511%,-2.211%,14.761%,25.418%,16.116%,27.686%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-78.720%,-78.128%,-22.883%,-21.667%,-34.639%,-18.331%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-96.347%,-108.692%,-24.238%,-20.313%,-34.769%,-17.434%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-71.579%,-81.342%,2.148%,-26.820%,-29.269%,-23.796%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-45,779,000","-49,283,000","-26,294,000","-19,478,000","-21,818,000","-10,762,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-71.035%,-70.261%,-18.973%,-18.594%,-31.595%,-15.720%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"4,953,000","5,518,000","5,420,000","3,219,000","2,102,000","1,787,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-50,732,000","-54,801,000","-31,714,000","-22,697,000","-23,920,000","-12,549,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-78.720%,-78.127%,-22.883%,-21.667%,-34.639%,-18.331%,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"64,446,000","70,143,000","138,590,000","104,754,000","69,056,000","68,458,000",Upgrade,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,"300,000","300,000","300,000","300,000","500,000",Upgrade,Financials in USD,Fiscal year is January - December
