Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"59,852,000","33,459,000","7,500,000","6,000,000","2,000,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),698.027%,346.120%,25.000%,200.000%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"9,259,000","2,004,000","975,000","680,000","60,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"50,593,000","31,455,000","6,525,000","5,320,000","1,940,000",-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","10,190,000","9,975,000","11,251,000","11,700,000","10,676,000","9,063,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"29,827,000","34,472,000","30,648,000","28,694,000","22,760,000","19,816,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"40,017,000","44,447,000","41,899,000","40,394,000","33,436,000","28,879,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"10,576,000","-12,992,000","-35,374,000","-35,074,000","-31,496,000","-28,879,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,299,000","2,960,000","1,437,000","894,000","1,765,000","935,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"5,000","5,000","340,000","-1,000","63,000","-218,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-31,000","-31,000","-27,000","-25,000","-42,000","-32,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"14,849,000","-10,058,000","-33,624,000","-34,206,000","-29,710,000","-28,194,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"281,000","281,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-7,000","-7,000","-12,000","3,000","12,000","135,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"15,123,000","-9,784,000","-33,636,000","-34,203,000","-29,698,000","-28,059,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"13,524,000","8,970,000","58,000",-,-,"-722,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"1,599,000","-18,754,000","-33,694,000","-34,203,000","-29,698,000","-27,337,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"1,599,000","-18,754,000","-33,694,000","-34,203,000","-29,698,000","-27,337,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"89,247,153","87,633,298","86,555,628","84,203,971","79,591,187","63,636,673",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"89,247,153","87,633,298","86,555,628","84,203,971","79,591,187","63,636,673",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),2.365%,1.245%,2.793%,5.796%,25.071%,15.122%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),0.018,-0.214,-0.389,-0.406,-0.373,-0.430,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.018,-0.214,-0.390,-0.410,-0.373,-0.430,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,-,"-36,058,000","-34,590,000","-22,983,000","-28,486,000","-28,043,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-,-0.411,-0.400,-0.273,-0.358,-0.441,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,84.530%,94.010%,87.000%,88.667%,97.000%,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,17.670%,-38.830%,-471.653%,-584.567%,-1574.800%,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,2.672%,-56.051%,-449.253%,-570.050%,-1484.900%,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-107.768%,-461.200%,-383.050%,-1424.300%,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"11,047,500","-12,516,000","-34,892,000","-34,613,000","-30,781,000","-27,890,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,18.458%,-37.407%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"471,500","476,000","482,000","461,000","715,000","989,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"10,576,000","-12,992,000","-35,374,000","-35,074,000","-31,496,000","-28,879,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,17.670%,-38.830%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
