Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q1 2023,Q4 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022",,
Revenue,"43,000","111,000","529,000","1,000","9,000","194,000",-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),377.778%,-42.784%,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"19,622,000","18,470,000","17,210,000","15,915,000","11,735,000","7,842,000","7,658,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-19,579,000","-18,359,000","-16,681,000","-15,914,000","-11,726,000","-7,648,000","-7,658,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","8,716,000","7,494,000","5,788,000","3,018,000","2,317,000","2,073,000","1,657,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"8,716,000","7,494,000","5,788,000","3,018,000","2,317,000","2,073,000","1,657,000",Financials in USD,Fiscal year is January - December
Operating Income,"-28,295,000","-25,853,000","-22,469,000","-18,932,000","-14,043,000","-9,721,000","-9,315,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"7,892,000","13,843,000","5,546,000","1,704,000","2,283,000","1,046,000","2,510,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-2,000","-6,892,000","-9,000","1,212,000","-8,000","8,000","-1,587,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-20,405,000","-18,902,000","-16,932,000","-16,016,000","-11,768,000","-8,667,000","-8,392,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-100,000",-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-20,405,000","-18,902,000","-16,932,000","-16,116,000","-11,768,000","-8,667,000","-8,392,000",Financials in USD,Fiscal year is January - December
Net Income,"-20,405,000","-18,902,000","-16,932,000","-16,116,000","-11,768,000","-8,667,000","-8,392,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,"5,935,000","5,746,000","3,734,000","3,770,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-20,405,000","-18,902,000","-16,932,000","-22,051,000","-17,514,000","-12,401,000","-12,162,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"67,143,744","66,649,443","47,064,768","5,163,667","4,383,131","3,855,383","3,798,618",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"67,143,744","66,649,443","47,064,768","5,163,667","4,383,131","3,855,383","3,798,618",Financials in USD,Fiscal year is January - December
Shares Change (YoY),1431.867%,1628.737%,1138.997%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.304,-0.284,-0.360,-4.270,-3.996,-3.217,-3.202,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.304,-0.284,-0.360,-4.270,-3.996,-3.217,-3.202,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-15,918,000","-16,134,000","-26,024,000","-16,061,000",-,"-7,986,000","-6,828,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.237,-0.242,-0.553,-3.110,-,-2.071,-1.797,Financials in USD,Fiscal year is January - December
Operating Margin,-65802.326%,-23290.991%,-4247.448%,-1893200.000%,-156033.333%,-5010.825%,-,Financials in USD,Fiscal year is January - December
Profit Margin,-47453.488%,-17028.829%,-3200.756%,-2205100.000%,-194600.000%,-6392.268%,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-37018.605%,-14535.135%,-4919.471%,-1606100.000%,-,-4116.495%,-,Financials in USD,Fiscal year is January - December
EBITDA,"-28,274,000","-25,846,000","-22,465,000","-18,928,000","-14,038,667","-9,717,000","-9,311,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"21,000","7,000","4,000","4,000","4,333","4,000","4,000",Financials in USD,Fiscal year is January - December
EBIT,"-28,295,000","-25,853,000","-22,469,000","-18,932,000","-14,043,000","-9,721,000","-9,315,000",Financials in USD,Fiscal year is January - December
