Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020",,
Revenue,-,-,"45,000","449,000",-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-89.978%,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,"14,000","94,000",-,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,"31,000","355,000",-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","16,549,000","15,984,000","15,902,000","6,163,000","3,591,000",Financials in USD,Fiscal year is January - December
Research & Development,"11,021,000","13,008,000","7,257,000","3,798,000","3,182,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"27,570,000","28,992,000","23,159,000","9,961,000","6,773,000",Financials in USD,Fiscal year is January - December
Operating Income,"-27,570,000","-28,992,000","-23,128,000","-9,606,000","-6,773,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-980,000","-1,069,000","-158,000","-614,000","-163,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"2,268,000","1,332,000","-2,130,000","237,000","-1,054,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-26,282,000","-28,729,000","-25,416,000","-9,983,000","-7,990,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"-471,000",-,"-63,000","57,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-26,282,000","-29,200,000","-25,416,000","-10,922,000","-7,933,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"8,000","16,000","11,000","11,000","4,000",Financials in USD,Fiscal year is January - December
Net Income,"-26,275,000","-29,216,000","-25,427,000","-10,933,000","-7,937,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-27,946,000","-29,216,000","-25,427,000","-10,933,000","-7,937,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"5,076,450","1,688,700","850,500","1,974,800","1,713,300",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"5,076,450","1,688,700","850,500","1,974,800","1,713,300",Financials in USD,Fiscal year is January - December
Shares Change (YoY),402.942%,98.554%,-56.932%,15.263%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-5.505,-17.301,-29.897,-5.536,-4.633,Financials in USD,Fiscal year is January - December
EPS (Diluted),-5.505,-17.301,-29.897,-5.536,-4.633,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-19,538,000","-27,568,000","-13,642,000","-7,980,000","-5,177,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-3.849,-16.325,-16.040,-4.041,-3.022,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,68.889%,79.064%,-,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-51395.556%,-2139.421%,-,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-56504.444%,-2434.967%,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-30315.556%,-1777.283%,-,Financials in USD,Fiscal year is January - December
EBITDA,"-27,167,000","-28,600,000","-22,868,000","-9,450,000","-6,666,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"403,000","392,000","260,000","156,000","107,000",Financials in USD,Fiscal year is January - December
EBIT,"-27,570,000","-28,992,000","-23,128,000","-9,606,000","-6,773,000",Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,"45,000",-,-,Financials in USD,Fiscal year is January - December
