Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"3,191,000","2,498,000","156,000","4,131,000","1,517,000","268,000","967,000","1,613,000","407,000","163,000","174,000","334,000","153,000","3,480,000","685,000","3,785,000","668,000","236,000","2,728,000","887,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),110.349%,832.090%,-83.868%,156.107%,272.727%,64.417%,455.747%,382.934%,166.013%,-95.316%,-74.599%,-91.176%,-77.096%,1374.576%,-74.890%,326.719%,22.344%,-66.993%,91.439%,-49.717%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"45,263,000","3,884,000","31,661,000","30,426,000","34,535,000","2,489,000","26,798,000","22,899,000","21,572,000","20,731,000","17,056,000","14,678,000","13,557,000","12,356,000","12,720,000","10,425,000","10,708,000","9,705,000","11,695,000","10,339,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-42,072,000","-1,386,000","-31,505,000","-26,295,000","-33,018,000","-2,221,000","-25,831,000","-21,286,000","-21,165,000","-20,568,000","-16,882,000","-14,344,000","-13,404,000","-8,876,000","-12,035,000","-6,640,000","-10,040,000","-9,469,000","-8,967,000","-9,452,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","10,054,000","9,128,000","9,103,000","8,832,000","8,221,000","7,221,000","6,640,000","6,599,000","6,531,000","7,154,000","6,911,000","6,241,000","5,821,000","4,306,000","4,121,000","3,623,000","3,640,000","3,528,000","3,666,000","3,219,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,"35,803,000",-,-,-,"23,763,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"10,054,000","44,931,000","9,103,000","8,832,000","8,221,000","30,984,000","6,640,000","6,599,000","6,531,000","7,154,000","6,911,000","6,241,000","5,821,000","4,306,000","4,121,000","3,623,000","3,640,000","3,528,000","3,666,000","3,219,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-52,126,000","-46,317,000","-40,608,000","-35,127,000","-41,239,000","-33,205,000","-32,471,000","-27,885,000","-27,696,000","-27,722,000","-23,793,000","-20,585,000","-19,225,000","-13,182,000","-16,156,000","-10,263,000","-13,680,000","-12,997,000","-12,633,000","-12,671,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"10,005,000","10,475,000","7,800,000","4,321,000","2,979,000","2,703,000","3,110,000","1,398,000","912,000","392,000","207,000","192,000","145,000","67,000","101,000","1,942,000","118,000","106,000","242,000","2,542,000",Upgrade,Financials in USD,Fiscal year is January - December
