Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Operating Revenue,"16,200,000","8,061,000","4,528,000","283,000","155,000","178,000","139,000","16,024,000","175,000","1,307,000","1,665,000",-,"8,312,000","11,175,000","25,601,000","13,912,000","6,179,000","2,900,000","50,128,000","4,434,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Revenue,"1,851,000","1,442,000","1,970,000","1,707,000","1,489,000","1,823,000","3,420,000","1,298,000","1,704,000","1,416,000","2,135,000",-,"2,515,000","1,912,000","2,365,000","1,997,000","3,063,000","1,716,000","1,778,000","1,913,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"18,051,000","9,503,000","6,498,000","1,990,000","1,644,000","2,001,000","3,559,000","17,322,000","1,879,000","2,723,000","3,800,000",-,"10,827,000","13,087,000","27,966,000","15,909,000","9,242,000","4,616,000","51,906,000","6,347,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),997.993%,374.913%,82.579%,-88.512%,-12.507%,-26.515%,-6.342%,-,-82.645%,-79.193%,-86.412%,-,17.150%,183.514%,-46.122%,150.654%,-9.445%,57.435%,1412.853%,113.058%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,"167,000",-,-,-,"691,000","367,000","329,000","385,000",-,"9,213,000","11,755,000","8,145,000","18,116,000","7,820,000","5,827,000","4,600,000","5,694,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"18,051,000","9,503,000","6,498,000","1,823,000","1,644,000","2,001,000","3,559,000","16,631,000","1,512,000","2,394,000","3,415,000",-,"1,614,000","1,332,000","19,821,000","-2,207,000","1,422,000","-1,211,000","47,306,000","653,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","5,167,000","3,882,000","5,104,000","4,671,000","3,227,000","3,950,000","4,964,000","1,697,000","4,903,000","4,830,000","6,063,000",-,"9,675,000","9,440,000","8,779,000","12,436,000","10,301,000","9,070,000","12,146,000","8,747,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"23,829,000","23,518,000","22,324,000","25,527,000","19,075,000","22,200,000","21,415,000","21,434,000","23,837,000","25,630,000","26,601,000",-,"34,324,000","31,335,000","31,004,000","23,356,000","20,103,000","22,862,000","20,724,000","30,438,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,"-175,000","-686,000","-35,000","704,000","12,000","-528,000","111,000","-728,000","125,000","-753,000","-21,000",-,"-18,000","-432,000","-56,000","-24,000","374,000","-111,000","25,000","82,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"28,821,000","26,714,000","27,393,000","30,902,000","22,314,000","25,622,000","26,490,000","22,403,000","28,865,000","29,707,000","32,643,000",-,"43,981,000","40,343,000","39,727,000","35,768,000","30,778,000","31,821,000","32,895,000","39,267,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-10,770,000","-17,211,000","-20,895,000","-29,079,000","-20,670,000","-23,621,000","-22,931,000","-5,772,000","-27,353,000","-27,313,000","-29,228,000",-,"-42,367,000","-39,011,000","-19,906,000","-37,975,000","-29,356,000","-33,032,000","14,411,000","-38,614,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-1,922,000","-1,833,000","-1,836,000","-1,546,000","-1,511,000","-1,347,000","-4,177,000","-934,000","-928,000","-974,000","-1,058,000",-,-,"-4,730,000","-1,037,000","-1,418,000","-4,250,000","-2,821,000","-685,000","-372,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,020,000","2,771,000","25,910,000","1,450,000","723,000","761,000","775,000","445,000","364,000","205,000","170,000",-,"2,296,000",-,"298,000",-,-,-,"974,000","678,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-9,439,000","526,000","2,200,000","-3,050,000","272,000","7,927,000","-1,000,000","-5,926,000","4,554,000","5,554,000","1,800,000",-,-,"600,000","5,300,000","-6,230,000",-,-,"1,900,000","-3,190,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-183,000","-9,716,000","2,000","-21,799,000","-1,052,000","-13,186,000",-,"-12,328,000",-,"3,518,000",-,-,-,"2,000","-1,000","336,000","4,000","1,000","1,000","151,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-19,294,000","-25,463,000","5,381,000","-54,024,000","-22,238,000","-29,466,000","-27,333,000","-24,515,000","-23,363,000","-19,010,000","-28,316,000",-,"-40,071,000","-43,139,000","-15,346,000","-45,287,000","-33,602,000","-35,852,000","16,601,000","-41,347,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-3,821,000",-,-,"-9,092,000","4,862,000",-,-,"-1,211,000","-2,184,000",-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"-500,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-200,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
