Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
"Selling, General & Admin","23,916,354","11,694,367","10,548,062","6,544,811","5,149,668","5,182,566",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"27,664,397","27,266,276","18,265,711","17,586,469","10,140,681","8,996,058",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"51,580,751","38,960,643","28,813,773","24,131,280","15,290,349","14,178,624",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-51,580,751","-38,960,643","-28,813,773","-24,131,280","-15,290,349","-14,178,624",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,105,865","387,147","152,519","2,284","10,897","42,712",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"307,691","-4,257,114","-3,191,364","6,634",-,"43,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-50,167,195","-42,830,610","-31,852,618","-24,122,362","-15,279,452","-14,092,912",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,"185,280",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-50,167,195","-42,830,610","-31,852,618","-24,122,362","-15,094,172","-14,092,912",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-60,000","-60,000","-60,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-50,107,195","-42,770,610","-31,792,618","-24,122,362","-15,094,172","-14,092,912",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-50,107,195","-42,770,610","-31,792,618","-24,122,362","-15,094,172","-14,092,912",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"29,901,479","12,221,571","7,055,665","5,551,572","1,981,266","767,509",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"29,901,479","12,221,571","7,055,665","5,551,572","1,981,266","767,509",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),173.548%,73.216%,27.093%,180.203%,158.142%,159.121%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.676,-3.500,-4.506,-4.345,-7.618,-18.362,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.921,-3.500,-4.506,-4.345,-7.618,-18.362,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-46,574,888","-33,241,012","-25,448,272","-22,710,199","-13,995,096","-11,718,250",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.558,-2.720,-3.607,-4.091,-7.064,-15.268,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-51,287,709","-38,768,268","-28,665,338","-23,981,365","-15,148,896","-14,045,826",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"293,042","192,375","148,435","149,915","141,453","132,798",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-51,580,751","-38,960,643","-28,813,773","-24,131,280","-15,290,349","-14,178,624",Upgrade,Financials in USD,Fiscal year is January - December
