Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
"Selling, General & Admin","4,876,000","3,667,000","1,914,000","1,931,000","1,903,000","2,293,000","3,761,000","4,627,000","4,490,000","4,932,000","4,872,000","3,824,000","3,394,000","2,914,000","2,218,000","1,537,000","312,000","248,000","328,000",Financials in USD,Fiscal year is January - December
Research & Development,"3,518,000","52,705,000","1,091,000","1,124,000","2,876,000","3,688,000","3,890,000","4,927,000","4,258,000","8,769,000","8,260,000","6,879,000","5,989,000","5,793,000","4,661,000","4,412,000","1,947,000","1,360,000","1,623,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"8,394,000","56,372,000","3,005,000","3,055,000","4,779,000","5,981,000","7,651,000","9,554,000","8,748,000","13,701,000","13,132,000","10,703,000","9,383,000","8,707,000","6,879,000","5,949,000","2,259,000","1,608,000","1,951,000",Financials in USD,Fiscal year is January - December
Operating Income,"-8,394,000","-56,372,000","-3,005,000","-3,055,000","-4,779,000","-5,981,000","-7,651,000","-9,554,000","-8,748,000","-13,701,000","-13,132,000","-10,703,000","-9,383,000","-8,707,000","-6,879,000","-5,949,000","-2,259,000","-1,608,000","-1,951,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,"1,485,000","1,278,000","1,003,000",-,"1,110,000","409,000","360,000","383,000","147,000","278,000","347,000","20,000",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"52,000","-2,000","-33,000","132,000","-228,000","384,000","248,000","1,032,000","-1,317,000","-1,042,000","-157,000","98,000","-252,000","-12,000","-4,000","244,000","1,000","-23,000","35,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"2,785,000",-,-,-,"1,261,000",-,-,-,-,-,-,-,-,-,"-11,718,000",-,-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-5,557,000","-54,889,000","-1,760,000","-1,920,000","-3,746,000","-4,487,000","-6,994,000","-8,162,000","-9,682,000","-14,596,000","-13,011,000","-10,258,000","-9,615,000","-8,719,000","-18,601,000","-5,705,000","-2,258,000","-1,631,000","-1,916,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-3,338,000",-,-,"-2,067,000","-222,000","-733,000","-15,787,000",-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
