Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
"Selling, General & Admin","14,564,000","12,243,000","11,658,000","10,927,000","12,908,000","11,603,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"41,730,000","38,120,000","29,997,000","20,337,000","14,904,000","22,449,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"56,294,000","50,363,000","41,655,000","31,264,000","27,812,000","34,052,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-55,444,000","-50,363,000","-41,655,000","-31,264,000","-27,812,000","-34,052,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-370,000","-908,000","-1,228,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"7,669,000","7,869,000","2,360,000","29,000","88,000","743,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,"1,000","-12,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"18,000",-,-,-,"-556,000","-104,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-47,757,000","-42,494,000","-39,295,000","-31,605,000","-29,187,000","-34,653,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,"70,000","42,000","-281,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-47,757,000","-42,494,000","-39,225,000","-82,181,000","-29,468,000","-34,653,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,"32,000","91,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-47,757,000","-42,494,000","-39,225,000","-82,181,000","-29,500,000","-34,744,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-47,757,000","-42,494,000","-39,225,000","-82,181,000","-29,500,000","-34,744,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"134,846,500","127,027,000","105,186,000","62,870,000","30,776,000","6,691,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"134,846,500","127,027,000","105,186,000","62,870,000","30,776,000","6,691,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),8.215%,20.764%,67.307%,104.283%,359.961%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.354,-0.335,-0.373,-1.307,-0.959,-5.193,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.354,-0.335,-0.373,-1.307,-0.959,-5.193,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-48,100,000","-40,648,000","-34,337,000","-21,552,000","-26,909,000","-32,207,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.357,-0.320,-0.326,-0.343,-0.874,-4.813,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-54,834,000","-49,664,000","-40,873,000","-30,698,000","-25,408,000","-31,932,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"610,000","699,000","782,000","566,000","2,404,000","2,120,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-55,444,000","-50,363,000","-41,655,000","-31,264,000","-27,812,000","-34,052,000",Upgrade,Financials in USD,Fiscal year is January - December
