Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"26,000","129,000",-,"4,000","11,000","26,000","283,000","814,000","32,555,000","440,000","15,000","46,000","107,000","391,000","1,435,000","1,120,000","1,609,000","1,402,000","1,241,000","6,767,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),136.364%,396.154%,-,-99.509%,-99.966%,-94.091%,1786.667%,1669.565%,30325.234%,12.532%,-98.955%,-95.893%,-93.350%,-72.111%,15.633%,-83.449%,-17.824%,-2.503%,-47.326%,39.124%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"18,296,000","18,428,000","20,344,000","21,263,000","15,657,000","16,926,000","18,822,000","24,840,000","14,999,000","18,047,000","19,154,000","34,337,000","13,820,000","13,798,000",-,"8,687,000","10,018,000","8,578,000","8,949,000","7,493,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-18,270,000","-18,299,000","-20,344,000","-21,259,000","-15,646,000","-16,900,000","-18,539,000","-24,026,000","17,556,000","-17,607,000","-19,139,000","-34,291,000","-13,713,000","-13,407,000","1,435,000","-7,567,000","-8,409,000","-7,176,000","-7,708,000","-726,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","5,173,000","4,533,000","6,046,000","5,170,000","9,304,000","4,448,000","5,679,000","5,761,000","5,813,000","5,840,000","5,632,000","5,241,000","4,887,000","4,408,000","4,136,000","4,190,000","3,151,000","3,110,000","3,205,000","3,147,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"1,350,000",-,-,"-5,619,000","1,739,000",-,-,"-5,827,000","2,097,000",-,-,-,-,-,"11,862,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"6,523,000","4,533,000","6,046,000","-449,000","11,043,000","4,448,000","5,679,000","-66,000","7,910,000","5,840,000","5,632,000","5,241,000","4,887,000","4,408,000","15,998,000","4,190,000","3,151,000","3,110,000","3,205,000","3,147,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-24,793,000","-22,832,000","-26,390,000","-20,810,000","-26,689,000","-21,348,000","-24,218,000","-23,960,000","9,646,000","-23,447,000","-24,771,000","-39,532,000","-18,600,000","-17,815,000","-14,563,000","-11,757,000","-11,560,000","-10,286,000","-10,913,000","-3,873,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,914,000","2,147,000","2,521,000","2,649,000","2,703,000","2,772,000","2,846,000","2,736,000","199,000",-,"4,000","34,000","40,000","52,000","38,000","60,000","149,000","270,000","493,000","383,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,"-21,000",-,-,-,-,-,"18,000",-,-,-,"18,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-22,879,000","-20,685,000","-23,869,000","-18,161,000","-23,986,000","-18,576,000","-21,372,000","-21,224,000","9,845,000","-23,468,000","-24,767,000","-39,498,000","-18,560,000","-17,763,000","-14,525,000","-11,679,000","-11,411,000","-10,016,000","-10,420,000","-3,472,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,"-1,854,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,"1,000",-,-,-,-,-,-,-,"4,000",-,-,-,"-31,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,"229,670,000",-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"2,000,000",-,-,-,-,"2,000,000","2,000,000",-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-22,879,000","-20,685,000","-21,869,000","-18,161,000","-23,986,000","-18,576,000","-21,372,000","-21,077,000","241,515,000","-23,468,000","-24,767,000","-39,498,000","-18,560,000","-17,763,000","-97,415,000","-11,675,000","-11,411,000","-10,016,000","-10,420,000","-3,503,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,-,"-117,000","153,000",-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-22,879,000","-20,685,000","-21,869,000","-18,161,000","-23,986,000","-18,576,000","-21,372,000","-20,960,000","241,362,000","-23,468,000","-24,767,000","-39,498,000","-18,560,000","-17,763,000","-97,415,000","-11,675,000","-11,411,000","-10,016,000","-10,420,000","-3,503,000",Upgrade,Financials in USD,Fiscal year is January - December
