Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"6,853,000","6,853,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"6,853,000","6,853,000",-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","49,420,000","53,731,000","55,200,000","43,009,000","1,139,000","790,000",Financials in USD,Fiscal year is January - December
Research & Development,"119,086,000","124,405,000","155,083,000","96,322,000","9,301,000","4,263,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"168,506,000","178,136,000","210,283,000","139,331,000","10,440,000","5,053,000",Financials in USD,Fiscal year is January - December
Operating Income,"-161,653,000","-171,283,000","-210,283,000","-139,331,000","-10,440,000","-5,053,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-10,181,000","-9,906,000","-7,277,000","-2,549,000","-378,000","-118,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"12,104,000","10,476,000","244,000",-,-,"5,000",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"2,800,000","800,000","-2,800,000","-3,600,000",-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"303,000","-328,000","-758,000","-770,000","155,000","105,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-156,627,000","-170,241,000","-220,874,000","-146,250,000","-10,663,000","-5,061,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,"-1,700,000","-5,900,000","3,920,000","-15,082,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-158,327,000","-176,141,000","-216,954,000","-381,786,000","-10,663,000","-5,061,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"2,938,000","-25,056,000","-747,000","114,000",-,-,Financials in USD,Fiscal year is January - December
Net Income,"-161,265,000","-151,085,000","-216,207,000","-381,900,000","-10,663,000","-5,061,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,"-829,000",-,-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-161,265,000","-151,085,000","-216,207,000","-381,071,000","-10,663,000","-5,061,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"105,914,499","96,177,578","93,400,513","75,166,456","15,000,000",-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"105,914,499","96,177,578","93,400,513","75,166,456","15,000,000",-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),11.084%,2.973%,24.258%,401.110%,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.523,-1.571,-2.315,-5.070,-0.711,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.523,-1.571,-2.315,-5.070,-0.711,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-130,367,000","-160,511,000","-201,683,000","-136,344,000","-10,630,000","-5,825,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.231,-1.669,-2.159,-1.814,-0.709,-,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-2358.865%,-2499.387%,-,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-2353.203%,-2204.655%,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1902.335%,-2342.200%,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-161,299,000","-170,973,000","-210,152,000","-139,297,000","-10,434,000","-5,047,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"354,000","310,000","131,000","34,000","6,000","6,000",Financials in USD,Fiscal year is January - December
EBIT,"-161,653,000","-171,283,000","-210,283,000","-139,331,000","-10,440,000","-5,053,000",Financials in USD,Fiscal year is January - December
