Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","7,061,828","7,289,885","7,790,040","3,632,920","930,667","2,965,207",Financials in USD,Fiscal year is January - December
Research & Development,"25,484,855","17,782,731","7,091,163","3,805,067","1,641,501","2,411,937",Financials in USD,Fiscal year is January - December
Operating Expenses,"32,546,683","25,072,616","14,881,203","7,437,987","2,572,168","5,377,144",Financials in USD,Fiscal year is January - December
Operating Income,"-32,546,683","-25,072,616","-14,881,203","-7,437,987","-2,572,168","-5,377,144",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-64,240","-661,224","-1,100,390",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,460,907","1,163,975","547,268",-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-66,306","-55,570","-2,004","7,612","9,877,857","93,365",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-30,152,082","-23,964,211","-14,335,939","-7,494,615","6,644,465","-6,384,169",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"125,577",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-30,152,082","-23,964,211","-14,835,939","-10,456,870","6,644,465","-6,384,169",Financials in USD,Fiscal year is January - December
Net Income,"-30,152,082","-23,964,211","-14,835,939","-10,456,870","6,644,465","-6,384,169",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,"5,573,558",-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-30,152,082","-23,964,211","-14,835,939","-10,456,870","1,070,907","-6,384,169",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"41,925,100","15,966,053","15,966,053","2,833,674","348,368",-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"41,925,100","15,966,053","15,966,053","2,833,674","2,054,875",-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),162.589%,-,463.440%,37.900%,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.719,-1.501,-0.929,-3.690,3.074,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.719,-1.501,-0.929,-3.690,-3.964,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-16,884,190","-21,047,618","-13,586,070","-8,799,487","-1,034,620","-2,836,098",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.403,-1.318,-0.851,-3.105,-0.503,-,Financials in USD,Fiscal year is January - December
EBITDA,"-32,536,168","-25,060,572","-14,871,935",-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"10,515","12,044","9,268",-,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-32,546,683","-25,072,616","-14,881,203","-7,437,987","-2,572,168","-5,377,144",Financials in USD,Fiscal year is January - December
