Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"599,245,000","566,767,000","463,933,000","276,868,000","310,016,000","296,701,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),9.623%,22.166%,67.565%,-10.692%,4.488%,5.809%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"79,911,000","79,722,000","78,606,000","59,070,000","69,500,000","178,908,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"519,334,000","487,045,000","385,327,000","217,798,000","240,516,000","117,793,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","157,277,000","150,708,000","141,586,000","118,960,000","113,832,000","116,449,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,"3,983,000","9,451,000","9,772,000","10,340,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"301,624,000","296,468,000","277,038,000","195,592,000","184,284,000","141,541,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"217,710,000","190,577,000","108,289,000","22,206,000","56,232,000","-23,748,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-70,601,000","-83,339,000","-63,213,000","-21,014,000","-28,882,000","-909,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"16,467,000","15,615,000","1,047,000","12,000","232,000","1,935,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"163,576,000","122,853,000","46,123,000","1,204,000","27,582,000","-22,722,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-21,187,000","-15,116,000","-70,184,000","-4,578,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,"-4,786,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,"-8,500,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-14,380,000","-23,504,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"128,009,000","75,733,000","-28,847,000","-3,374,000","27,582,000","-22,722,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"39,415,000","27,578,000","-3,845,000","-74,891,000","830,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"88,594,000","48,155,000","-25,002,000","71,517,000","26,752,000","-22,722,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"88,594,000","48,155,000","-25,002,000","71,517,000","26,752,000","-22,722,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,882.631%,-,-,167.333%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"32,325,898","33,741,213","33,829,495","34,936,817","34,407,959","33,453,844",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"45,726,622","41,788,125","33,829,495","41,045,805","35,151,353","33,453,844",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),31.562%,23.526%,-17.581%,16.769%,5.074%,1.517%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),2.741,1.427,-0.739,2.047,0.777,-0.679,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),2.163,1.293,-0.740,1.856,0.760,-0.680,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,757.115%,-,-,144.246%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"192,428,000","274,288,000","122,608,000","101,613,000","88,396,000","21,345,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,4.208,6.564,3.624,2.476,2.515,0.638,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,86.665%,85.934%,83.057%,78.665%,77.582%,39.701%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,36.331%,33.625%,23.342%,8.020%,18.138%,-8.004%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,14.784%,8.496%,-5.389%,25.831%,8.629%,-7.658%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,32.112%,48.395%,26.428%,36.701%,28.513%,7.194%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"365,821,000","339,833,000","242,442,000","91,123,000","117,782,000","-8,265,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,61.047%,59.960%,52.258%,32.912%,37.992%,-2.786%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"148,111,000","149,256,000","134,153,000","68,917,000","61,550,000","15,483,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"217,710,000","190,577,000","108,289,000","22,206,000","56,232,000","-23,748,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,36.331%,33.625%,23.341%,8.020%,18.138%,-8.004%,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,30.791%,36.415%,-,-,3.009%,-,Upgrade,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,"7,406,000","11,743,000","4,186,000","5,368,000","9,527,000",Upgrade,Financials in USD,Fiscal year is January - December
