Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Operating Revenue,"9,085,826","9,848,849","8,497,701","7,314,051","10,085,926","10,888,877","9,224,638","7,793,913","11,413,072","10,299,152","11,175,045","7,380,077","8,072,540","9,055,483","10,537,159","8,661,073","9,250,689","9,598,177","8,330,734","7,325,103",Upgrade,Financials in USD,Fiscal year is January - December
Other Revenue,-,-,-,"2,039,015",-,-,-,"1,329,767",-,-,-,"939,784",-,-,-,"1,600,461",-,-,-,"1,980,450",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"9,085,826","9,848,849","8,497,701","9,353,066","10,085,926","10,888,877","9,224,638","9,123,680","11,413,072","10,299,152","11,175,045","8,319,861","8,072,540","9,055,483","10,537,159","10,261,534","9,250,689","9,598,177","8,330,734","9,305,553",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-9.916%,-9.551%,-7.880%,2.514%,-11.628%,5.726%,-17.453%,9.661%,41.381%,13.734%,6.054%,-18.922%,-12.736%,-5.654%,26.485%,10.273%,33.383%,1.919%,-4.572%,-31.059%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"1,323,013","1,710,944","1,575,542","1,529,983","1,765,590","1,520,774","1,250,264","2,650,309","2,224,443","2,031,884","2,211,885","3,325,243","1,328,027","1,740,649","2,417,329","2,266,018","2,142,839","2,609,982","1,634,181","2,389,584",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"7,762,813","8,137,905","6,922,159","7,823,083","8,320,336","9,368,103","7,974,374","6,473,371","9,188,629","8,267,268","8,963,160","4,994,618","6,744,513","7,314,834","8,119,830","7,995,516","7,107,850","6,988,195","6,696,553","6,915,969",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","7,072,860","7,005,549","6,522,495","8,198,414","7,086,997","7,041,958","6,776,311","6,887,112","6,276,515","6,760,660","6,916,778","6,718,567","5,840,087","6,218,947","6,017,849","7,192,519","5,969,115","6,056,170","5,743,960","7,181,159",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"1,306,095","1,059,187","1,158,253","1,264,753","1,924,768","1,145,038","1,499,670","1,405,841","1,714,254","1,823,693","1,745,136","1,612,827","1,453,873","1,360,398","1,257,367","1,399,433","1,230,335","1,421,502","1,722,555","2,079,782",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"9,457,245","9,164,593","8,791,409","10,658,480","10,186,939","9,345,244","9,506,052","8,751,175","9,477,217","10,113,806","10,255,159","9,348,614","8,307,908","8,750,563","8,444,130","9,741,462","8,316,536","8,569,157","8,542,554","10,310,359",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-1,694,432","-1,026,688","-1,869,250","-2,835,397","-1,866,603","22,859","-1,531,678","-2,277,804","-288,588","-1,846,538","-1,291,999","-4,353,996","-1,563,395","-1,435,729","-324,300","-1,745,946","-1,208,686","-1,580,962","-1,846,001","-3,394,390",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-137,374","-126,347","-118,526","-178,792","-110,081","-192,635","-186,353","-179,456","-149,340","-137,624","-119,575","-27,734","-20,021","-25,859","-24,417","-35,897","-75,210","-119,455","-33,065","-29,198",Upgrade,Financials in USD,Fiscal year is January - December
