Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"460,482,000","398,204,000","214,203,000","140,833,000","119,073,000","102,306,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),32.173%,85.900%,52.097%,18.275%,16.389%,20361.200%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"73,833,000","145,117,000","54,182,000","38,820,000","33,536,000","33,602,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"386,649,000","253,087,000","160,021,000","102,013,000","85,537,000","68,704,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","175,584,000","133,710,000","57,085,000","49,628,000","44,234,000","36,881,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"212,676,000","166,275,000","58,183,000","49,628,000","44,234,000","36,881,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"173,973,000","86,812,000","101,838,000","52,385,000","41,303,000","31,823,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"12,871,000","4,675,000","3,643,000","282,000","587,000","1,586,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"186,844,000","91,487,000","105,481,000","52,667,000","41,890,000","33,409,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"1,945,000","3,024,000","-762,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"188,789,000","94,511,000","104,719,000","52,667,000","41,890,000","33,409,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"45,992,000","23,101,000","21,640,000","13,185,000","-33,093,000","1,534,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"142,797,000","71,410,000","83,079,000","39,482,000","74,983,000","31,875,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"142,797,000","71,410,000","83,079,000","39,482,000","74,983,000","31,875,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,130.180%,-14.046%,110.422%,-47.345%,135.241%,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"115,161,970","106,279,736","103,374,606","103,379,349","103,512,913","102,944,316",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"121,829,505","113,753,154","111,375,631","107,795,585","106,242,273","106,020,936",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),6.938%,2.135%,3.321%,1.462%,0.209%,3.300%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),1.240,0.672,0.804,0.382,0.724,0.310,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),1.179,0.630,0.750,0.370,0.710,0.300,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,114.679%,-16.000%,102.703%,-47.887%,136.667%,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"188,018,000","-54,924,000","106,018,000","59,351,000","45,023,000","34,593,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,1.543,-0.483,0.952,0.551,0.424,0.326,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,83.966%,63.557%,74.705%,72.435%,71.836%,67.155%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,37.781%,21.801%,47.543%,37.197%,34.687%,31.106%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,31.010%,17.933%,38.785%,28.035%,62.972%,31.157%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,40.831%,-13.793%,49.494%,42.143%,37.811%,33.813%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"211,432,000","119,693,000","103,077,000","52,577,000","41,395,000","31,878,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,45.915%,30.058%,48.121%,37.333%,34.764%,31.159%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"37,459,000","32,881,000","1,239,000","192,000","92,000","55,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"173,973,000","86,812,000","101,838,000","52,385,000","41,303,000","31,823,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,37.781%,21.801%,47.543%,37.197%,34.687%,31.106%,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,24.361%,24.443%,20.665%,25.035%,-,4.591%,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"460,482,000","398,204,000","214,203,000","140,833,000","119,073,000","102,306,000",Upgrade,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,"9,100,000","3,300,000","2,900,000","2,500,000","3,300,000",Upgrade,Financials in USD,Fiscal year is January - December
