Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2017,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2017,,
Revenue,-,-,-,"78,760",-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Gross Profit,-,-,-,"78,760",-,-,Upgrade,Financials in CAD,Fiscal year is January - December
"Selling, General & Admin","24,492,339","15,561,217","22,373,798","27,873,140","10,087,610","4,946,764",Upgrade,Financials in CAD,Fiscal year is January - December
Research & Development,"13,823,716","14,224,287","18,962,080","10,870,421","10,602,851","3,530,183",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Expenses,"38,316,055","29,785,504","41,335,878","38,743,561","20,690,461","11,893,806",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Income,"-38,316,055","-29,785,504","-41,335,878","-38,664,801","-20,690,461","-11,893,806",Upgrade,Financials in CAD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-621,Upgrade,Financials in CAD,Fiscal year is January - December
Interest & Investment Income,"1,334,870","2,038,465","1,237,632","106,001","76,583","245,422",Upgrade,Financials in CAD,Fiscal year is January - December
Currency Exchange Gain (Loss),"10,771","-712,717","2,761,935","1,892,023","-34,455","-99,850",Upgrade,Financials in CAD,Fiscal year is January - December
Other Non Operating Income (Expenses),"834,408","331,464","6,405,664","5,028,533","7,398","-1,935,168",Upgrade,Financials in CAD,Fiscal year is January - December
Pretax Income,"-36,136,006","-28,128,292","-30,930,647","-31,638,244","-20,640,935","-13,684,023",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income,"-36,136,006","-28,128,292","-30,930,647","-31,638,244","-20,640,935","-13,684,023",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income to Common,"-36,136,006","-28,128,292","-30,930,647","-31,638,244","-20,640,935","-13,684,023",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Basic),"67,756,966","64,463,087","62,505,982","43,222,819","29,857,136","25,822,262",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Diluted),"67,756,966","64,463,087","62,505,982","43,222,819","29,857,136","25,822,262",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Change (YoY),5.658%,3.131%,44.613%,44.765%,15.626%,67.969%,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Basic),-0.533,-0.436,-0.495,-0.732,-0.691,-0.530,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Diluted),-0.533,-0.436,-0.495,-0.732,-0.691,-0.530,Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow,"-25,958,171","-25,244,753","-27,295,054","-23,552,566","-9,170,003","-11,804,385",Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow Per Share,-0.383,-0.392,-0.437,-0.545,-0.307,-0.457,Upgrade,Financials in CAD,Fiscal year is January - December
Gross Margin,-,-,-,100.000%,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Operating Margin,-,-,-,-49091.926%,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Profit Margin,-,-,-,-40170.447%,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-29904.223%,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
EBITDA,"-38,172,777","-29,590,240","-41,156,038","-38,444,380","-20,460,922","-11,766,607",Upgrade,Financials in CAD,Fiscal year is January - December
D&A For EBITDA,"143,278","195,264","179,840","220,421","229,539","127,199",Upgrade,Financials in CAD,Fiscal year is January - December
EBIT,"-38,316,055","-29,785,504","-41,335,878","-38,664,801","-20,690,461","-11,893,806",Upgrade,Financials in CAD,Fiscal year is January - December
