Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Operating Revenue,"2,931,000","2,546,000","2,086,000","2,696,000","2,833,000","2,197,000","2,297,000","2,887,000","2,825,000","2,393,000","2,057,000","3,156,000","3,058,000","2,348,000","2,187,000","3,043,000","2,720,000","2,446,000","2,515,000","3,233,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Revenue,-,-,-,-,-,-,-,-,-,-,-,"-21,000","-19,000","-62,000","2,000","-19,000","22,000","-86,000","194,000","54,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"2,931,000","2,546,000","2,086,000","2,696,000","2,833,000","2,197,000","2,297,000","2,887,000","2,825,000","2,393,000","2,057,000","3,135,000","3,039,000","2,286,000","2,189,000","3,024,000","2,742,000","2,360,000","2,709,000","3,287,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),3.459%,15.885%,-9.186%,-6.616%,0.283%,-8.191%,11.667%,-7.911%,-7.042%,4.681%,-6.030%,3.671%,10.832%,-3.136%,-19.195%,-8.001%,-3.992%,12.703%,53.311%,19.310%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"646,000","10,266,000","9,664,000","10,018,000","836,000","10,086,000","9,164,000","8,777,000","10,875,000","12,365,000","11,517,000","10,929,000","8,753,000","8,869,000","6,866,000","5,761,000","4,840,000","5,404,000","7,598,000","7,623,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"2,285,000","-7,720,000","-7,578,000","-7,322,000","1,997,000","-7,889,000","-6,867,000","-5,890,000","-8,050,000","-9,972,000","-9,460,000","-7,794,000","-5,714,000","-6,583,000","-4,677,000","-2,737,000","-2,098,000","-3,044,000","-4,889,000","-4,336,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,753,000","4,792,000","4,891,000","4,877,000","4,761,000","4,249,000","4,760,000","4,330,000","4,556,000","5,089,000","5,673,000","4,773,000","4,334,000","4,067,000","4,123,000","3,538,000","2,613,000","2,386,000","3,593,000","2,998,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"9,099,000",-,-,-,"9,604,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"12,852,000","4,792,000","4,891,000","4,877,000","14,365,000","4,249,000","4,760,000","4,330,000","4,556,000","5,089,000","5,673,000","4,773,000","4,334,000","4,067,000","4,123,000","3,538,000","2,613,000","2,386,000","3,593,000","2,998,000",Upgrade,Financials in USD,Fiscal year is January - December
