Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
"Selling, General & Admin","2,033,000","1,821,000","2,178,000","1,630,000","1,595,000","1,654,000","1,924,000","1,438,000","1,961,000","1,944,000","2,167,000","1,881,000","1,962,000","2,184,000","3,253,000","2,688,000","3,226,000","2,910,000","3,106,000","2,520,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"5,222,000","4,114,000","4,075,000","3,999,000","3,965,000","3,968,000","4,594,000","4,080,000","10,365,000","4,923,000","5,100,000","4,788,000","6,991,000","9,106,000","8,230,000","7,191,000","6,619,000","7,857,000","10,163,000","8,920,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"7,255,000","5,935,000","6,253,000","5,629,000","5,560,000","5,622,000","6,518,000","5,518,000","12,326,000","6,867,000","7,267,000","6,669,000","8,953,000","11,290,000","11,483,000","9,879,000","9,845,000","10,767,000","13,269,000","11,440,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-7,255,000","-5,935,000","-6,253,000","-5,629,000","-5,560,000","-5,622,000","-6,518,000","-5,518,000","-12,326,000","-6,867,000","-7,267,000","-6,669,000","-8,953,000","-11,290,000","-11,483,000","-9,879,000","-9,845,000","-10,767,000","-13,269,000","-11,440,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"566,000","434,000","316,000","380,000","425,000","403,000","376,000","318,000","225,000","100,000","11,000",-,-,"1,000","3,000","1,000","49,000","156,000","334,000","393,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"-682,000","-577,000","236,000","-1,404,000","-865,000","-1,284,000","-1,731,000","-4,638,000","-2,730,000","-1,596,000","-1,041,000","-2,559,000","-1,709,000","-463,000","-100,000","-234,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-32,846,000","1,816,000",-,-,-,-,-,-,-,-,-,"-8,000","-11,000",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-40,217,000","-4,262,000","-5,701,000","-6,653,000","-6,000,000","-6,503,000","-7,873,000","-9,838,000","-14,831,000","-8,363,000","-8,297,000","-9,236,000","-10,673,000","-11,752,000","-11,580,000","-10,112,000","-9,796,000","-10,611,000","-12,935,000","-11,047,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,"22,000",-,-,-,-,-,-,-,"37,459,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
