Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"4,834,000","4,498,000","5,640,000","5,260,000","3,652,000","532,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-25.228%,-20.248%,7.224%,44.031%,586.466%,-98.021%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"668,000","222,000","157,000","90,000","2,317,000","410,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"4,166,000","4,276,000","5,483,000","5,170,000","1,335,000","122,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","8,513,000","8,724,000","8,230,000","7,267,000","5,893,000","7,829,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"17,400,000","13,560,000","12,506,000","6,574,000","1,506,000","1,837,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,"124,000",-,"-139,000","169,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"25,913,000","22,284,000","20,860,000","13,841,000","7,260,000","9,835,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-21,747,000","-18,008,000","-15,377,000","-8,671,000","-5,925,000","-9,713,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-6,000","-13,000","-4,000","-7,000","-4,000","-593,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,126,000","1,126,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-219,000","-206,000","879,000","215,000","572,000","87,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"2,155,000",-,"1,000","-14,000","415,000","4,518,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-18,691,000","-17,101,000","-14,501,000","-8,477,000","-4,942,000","-5,701,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-4,081,000",-,-,-,-,"-507,000",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,"-7,642,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"549,000","549,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-1,459,000",-,"-584,000",-,-,"-22,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,"219,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-23,682,000","-16,552,000","-22,727,000","-8,477,000","-4,723,000","-6,230,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-473,000",-,-,"-109,000","395,000","-188,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-23,209,000","-16,552,000","-22,727,000","-8,368,000","-5,118,000","-6,042,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-23,209,000","-16,552,000","-22,727,000","-8,368,000","-5,118,000","-6,042,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-23,209,000","-16,552,000","-22,727,000","-8,368,000","-5,118,000","-6,042,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,624,863","1,213,969","1,213,969","1,149,245","410,832","174,945",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,624,863","1,213,969","1,213,969","1,149,245","410,832","174,945",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),6.175%,-,5.632%,179.736%,134.835%,2.699%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-14.284,-13.635,-18.721,-7.281,-12.458,-34.537,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-14.284,-13.635,-18.721,-7.281,-12.458,-35.000,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-27,926,000","-17,137,000","-13,691,000","-8,611,000","-4,129,000","-10,725,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-17.187,-14.117,-11.278,-7.493,-10.050,-61.305,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,86.181%,95.064%,97.216%,98.289%,36.555%,22.932%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-449.876%,-400.356%,-272.642%,-164.848%,-162.240%,-1825.752%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-480.120%,-367.986%,-402.961%,-159.087%,-140.142%,-1135.714%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-577.700%,-380.992%,-242.748%,-163.707%,-113.061%,-2015.977%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-21,600,000","-17,992,000","-15,361,000","-8,526,000","-5,693,000","-9,398,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-272.358%,-162.091%,-155.887%,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"147,000","16,000","16,000","145,000","232,000","315,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-21,747,000","-18,008,000","-15,377,000","-8,671,000","-5,925,000","-9,713,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-272.642%,-164.848%,-162.240%,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,-,-,"532,000",Upgrade,Financials in USD,Fiscal year is January - December
