Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
"Selling, General & Admin","8,135,550","7,870,314","7,364,303","6,718,913","7,242,039","4,907,437","5,958,445","3,804,368","3,692,335","4,028,460","4,138,415","3,801,353","2,909,008","3,780,658","2,636,479","1,965,246","2,652,694","2,044,647","2,417,155","1,783,379",Upgrade,Financials in USD,Fiscal year is October - September
Research & Development,"2,914,928","2,763,865","3,605,898","2,621,910","2,882,684","3,764,675","4,726,855","3,445,515","3,857,231","4,888,192","3,452,210","5,457,849","2,294,235","2,203,748","1,551,341","6,191,179","1,488,080","2,644,244","2,015,940","2,664,546",Upgrade,Financials in USD,Fiscal year is October - September
Operating Expenses,"11,050,478","10,634,179","10,970,201","9,340,823","10,124,723","8,672,112","10,685,300","7,249,883","7,549,566","8,916,652","7,590,625","9,259,202","5,203,243","5,984,406","4,187,820","8,156,425","4,140,774","4,688,891","4,433,095","4,447,925",Upgrade,Financials in USD,Fiscal year is October - September
Operating Income,"-11,050,478","-10,634,179","-10,970,201","-9,340,823","-10,124,723","-8,672,112","-10,685,300","-7,249,883","-7,549,566","-8,916,652","-7,590,625","-9,259,202","-5,203,243","-5,984,406","-4,187,820","-8,156,425","-4,140,774","-4,688,891","-4,433,095","-4,447,925",Upgrade,Financials in USD,Fiscal year is October - September
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,"-2,932","-3,939","-3,968","-3,457","-4,245","-3,980","-3,991",Upgrade,Financials in USD,Fiscal year is October - September
Interest & Investment Income,"117,314","204,843","182,205","253,638","324,813","336,780","303,275","214,549","134,826","53,020","29,571","33,982","75,601","103,413","69,327","13,484","23,603","13,018","12,106","19,339",Upgrade,Financials in USD,Fiscal year is October - September
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"110,207",Upgrade,Financials in USD,Fiscal year is October - September
EBT Excluding Unusual Items,"-10,933,164","-10,429,336","-10,787,996","-9,087,185","-9,799,910","-8,335,332","-10,382,025","-7,035,334","-7,414,740","-8,863,632","-7,561,054","-9,225,220","-5,127,642","-5,883,925","-4,122,432","-8,146,909","-4,120,628","-4,680,118","-4,424,969","-4,322,370",Upgrade,Financials in USD,Fiscal year is October - September
Gain (Loss) on Sale of Assets,-,-,"2,387,842",-,-,-,-,"3,585,689",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
