Fiscal Year,TTM,FY 2023,FY 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022",,
"Selling, General & Admin","4,915,443","3,549,514","2,517,276",Financials in USD,Fiscal year is January - December
Research & Development,"3,028,509","4,081,349","428,573",Financials in USD,Fiscal year is January - December
Operating Expenses,"7,946,022","7,632,843","2,947,230",Financials in USD,Fiscal year is January - December
Operating Income,"-7,946,022","-7,632,843","-2,947,230",Financials in USD,Fiscal year is January - December
Interest Expense,-,"-17,101","-116,865",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"337,863","249,092",23,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,"-216,095","-4,260,650",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-7,608,159","-7,616,947","-7,324,722",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"-740,139",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-7,608,159","-8,357,086","-7,324,722",Financials in USD,Fiscal year is January - December
Net Income,"-7,608,159","-8,357,086","-7,324,722",Financials in USD,Fiscal year is January - December
Net Income to Common,"-7,608,159","-8,357,086","-7,324,722",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,077,042","899,466","526,034",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,077,042","899,466","526,034",Financials in USD,Fiscal year is January - December
Shares Change (YoY),40.033%,70.990%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-7.064,-9.291,-13.924,Financials in USD,Fiscal year is January - December
EPS (Diluted),-7.064,-9.291,-13.924,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-6,261,289","-3,533,577","-1,316,780",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-5.813,-3.929,-2.503,Financials in USD,Fiscal year is January - December
EBITDA,"-7,943,952","-7,630,863","-2,945,849",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"2,070","1,980","1,381",Financials in USD,Fiscal year is January - December
EBIT,"-7,946,022","-7,632,843","-2,947,230",Financials in USD,Fiscal year is January - December
