Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022",,
"Selling, General & Admin","1,674,905","1,212,437","1,125,993","902,107","898,051","784,623","964,732","1,168,606","915,897","280,112","152,661",Financials in USD,Fiscal year is January - December
Research & Development,"784,646","1,253,711","629,025","361,127","243,948","240,957","3,235,317","152,091","56,388","202,235","17,860",Financials in USD,Fiscal year is January - December
Operating Expenses,"2,459,958","2,466,618","1,755,615","1,263,831","1,142,596","1,026,177","4,200,239","1,321,572","972,791","482,347","170,521",Financials in USD,Fiscal year is January - December
Operating Income,"-2,459,958","-2,466,618","-1,755,615","-1,263,831","-1,142,596","-1,026,177","-4,200,239","-1,321,572","-972,791","-482,347","-170,521",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,"-17,101","-65,475","-32,014","-14,770","-4,589",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"52,129","73,636","92,327","119,771","106,145","23,176",-,3,3,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,"-216,095","-4,232,776","-21,312","-5,024","-1,538",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,407,829","-2,392,982","-1,663,288","-1,144,060","-1,036,451","-1,003,001","-4,433,435","-5,619,820","-1,026,114","-502,141","-176,648",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,"-740,139",-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,407,829","-2,392,982","-1,663,288","-1,144,060","-1,036,451","-1,003,001","-5,173,574","-5,619,820","-1,026,114","-502,141","-176,648",Financials in USD,Fiscal year is January - December
Net Income,"-2,407,829","-2,392,982","-1,663,288","-1,144,060","-1,036,451","-1,003,001","-5,173,574","-5,619,820","-1,026,114","-502,141","-176,648",Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,407,829","-2,392,982","-1,663,288","-1,144,060","-1,036,451","-1,003,001","-5,173,574","-5,619,820","-1,026,114","-502,141","-176,648",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,104,005","1,067,232","1,067,232","1,069,701","1,026,415","781,517","718,167","548,381","535,815","514,667","500,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,104,005","1,067,232","1,067,232","1,069,701","1,026,415","781,517","718,167","548,381","535,815","514,667","500,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),7.559%,36.559%,48.605%,95.065%,91.561%,51.849%,43.633%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.181,-2.242,-1.559,-1.070,-1.010,-1.283,-7.204,-10.248,-1.915,-0.976,-0.353,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.181,-2.242,-1.559,-1.070,-1.010,-1.283,-7.204,-10.248,-1.915,-0.976,-0.353,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-2,201,220","-1,529,244","-1,836,380","-694,445","-627,777","-798,561","-1,412,794","-399,948","-419,988","-453,145","-43,699",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.994,-1.433,-1.721,-0.649,-0.612,-1.022,-1.967,-0.729,-0.784,-0.880,-0.087,Financials in USD,Fiscal year is January - December
EBITDA,"-2,459,552","-2,466,148","-1,755,018","-1,263,234","-1,141,999","-1,025,581","-4,200,049","-1,320,697","-972,622",-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,406,470,597,597,597,596,190,875,169,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-2,459,958","-2,466,618","-1,755,615","-1,263,831","-1,142,596","-1,026,177","-4,200,239","-1,321,572","-972,791","-482,347","-170,521",Financials in USD,Fiscal year is January - December
