Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Operating Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"28,558","195,874","298,726","35,506",Upgrade,Financials in USD,Fiscal year is October - September
Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"28,558","195,874","298,726","35,506",Upgrade,Financials in USD,Fiscal year is October - September
Revenue Growth (YoY),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-62.734%,79.803%,98.135%,-71.913%,Upgrade,Financials in USD,Fiscal year is October - September
Cost of Revenue,"-13,684,204","4,703,160","4,628,535","4,352,509","-17,203,823","5,727,789","6,083,488","5,392,546","6,461,489","6,286,873","6,523,817","6,083,167","5,290,524","7,182,099","5,221,514","5,414,760","5,159,860","3,969,070","4,458,547","4,252,813",Upgrade,Financials in USD,Fiscal year is October - September
Gross Profit,"13,684,204","-4,703,160","-4,628,535","-4,352,509","17,203,823","-5,727,789","-6,083,488","-5,392,546","-6,461,489","-6,286,873","-6,523,817","-6,083,167","-5,290,524","-7,182,099","-5,221,514","-5,414,760","-5,131,302","-3,773,196","-4,159,821","-4,217,307",Upgrade,Financials in USD,Fiscal year is October - September
"Selling, General & Admin","1,643,157","1,967,075","2,447,413","2,133,378","2,199,849","2,453,968","2,092,758","2,258,003","2,486,679","2,432,518","3,028,042","2,760,208","3,183,112","3,274,480","3,311,484","3,316,156","3,313,608","3,192,403","2,558,522","2,638,896",Upgrade,Financials in USD,Fiscal year is October - September
Research & Development,"18,161,451",-,-,-,"22,471,496",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Operating Expenses,"19,804,608","1,967,075","2,447,413","2,133,378","24,671,345","2,453,968","2,092,758","2,258,003","2,486,679","2,432,518","3,028,042","2,760,208","3,183,112","3,274,480","3,311,484","3,316,156","3,313,608","3,192,403","2,558,522","2,638,896",Upgrade,Financials in USD,Fiscal year is October - September
Operating Income,"-6,120,404","-6,670,235","-7,075,948","-6,485,887","-7,467,522","-8,181,757","-8,176,246","-7,650,549","-8,948,168","-8,719,391","-9,551,859","-8,843,375","-8,473,636","-10,456,579","-8,532,998","-8,730,916","-8,444,910","-6,965,599","-6,718,343","-6,856,203",Upgrade,Financials in USD,Fiscal year is October - September
Interest Expense,"-174,571","-190,705","-182,701","-197,696","-181,894","-181,670","-159,063","-152,789",-,"-913,193","-273,828","-273,034","-252,831","-351,332","-260,735","-260,198","-263,827","-267,708","-253,407","-250,783",Upgrade,Financials in USD,Fiscal year is October - September
Interest & Investment Income,-,-,-,-,-,-,-,-,"379,021",-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Other Non Operating Income (Expenses),"185,483","-655,074","13,758","-25,941","18,712","-3,854","-7,500","-221,723","-527,565","-294,409","2,195","364,596","-1,163,769","1,604,561","-2,487,387","846,865","3,216,290","-2,092,737","-3,030,579","784,957",Upgrade,Financials in USD,Fiscal year is October - September
EBT Excluding Unusual Items,"-6,109,492","-7,516,014","-7,244,891","-6,709,524","-7,630,704","-8,367,281","-8,342,809","-8,025,061","-9,096,712","-9,926,993","-9,823,492","-8,751,813","-9,890,236","-9,203,350","-11,281,120","-8,144,249","-5,492,447","-9,326,044","-10,002,329","-6,322,029",Upgrade,Financials in USD,Fiscal year is October - September
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,"1,685,379",-,-,"121,606","113,360","-950,935","934,511","790,669",Upgrade,Financials in USD,Fiscal year is October - September
Asset Writedown,-,-,-,-,-,-,-,-,-,-,-,"-30,793",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Pretax Income,"-6,109,492","-7,516,014","-7,244,891","-6,709,524","-7,630,704","-8,367,281","-8,342,809","-8,025,061","-9,096,712","-9,926,993","-9,823,492","-8,782,606","-8,204,857","-9,203,350","-11,281,120","-8,022,643","-5,379,087","-10,276,979","-9,067,818","-5,531,360",Upgrade,Financials in USD,Fiscal year is October - September
Net Income,"-6,109,492","-7,516,014","-7,244,891","-6,709,524","-7,630,704","-8,367,281","-8,342,809","-8,025,061","-9,096,712","-9,926,993","-9,823,492","-8,782,606","-8,204,857","-9,203,350","-11,281,120","-8,022,643","-5,379,087","-10,276,979","-9,067,818","-5,531,360",Upgrade,Financials in USD,Fiscal year is October - September
Net Income to Common,"-6,109,492","-7,516,014","-7,244,891","-6,709,524","-7,630,704","-8,367,281","-8,342,809","-8,025,061","-9,096,712","-9,926,993","-9,823,492","-8,782,606","-8,204,857","-9,203,350","-11,281,120","-8,022,643","-5,379,087","-10,276,979","-9,067,818","-5,531,360",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Basic),"61,741,594","53,994,384","52,006,442","48,470,600","46,635,275","44,254,363","43,588,381","43,440,387","43,220,636","43,174,775","43,122,671","43,077,961","42,925,676","41,020,485","40,047,273","38,670,247","38,346,184","37,453,539","36,165,050","35,084,279",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Diluted),"61,741,594","53,994,384","52,006,442","48,470,600","46,635,275","44,254,363","43,588,381","43,440,387","43,220,636","43,174,775","43,122,671","43,083,420","42,925,676","41,231,082","40,047,273","38,767,286","38,346,184","37,453,539","36,165,050","35,098,608",Upgrade,Financials in USD,Fiscal year is October - September
