Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"233,772","123,104","202,450","311,399","495,477","117,118","152,411","186,803","452,167","541,886","194,904","585,115","403,918","238,590","358,133","145,586","222,462","209,594","325,734","227,363",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-52.819%,5.111%,32.832%,66.699%,9.578%,-78.387%,-21.802%,-68.074%,11.945%,127.120%,-45.578%,301.903%,81.567%,13.834%,9.946%,-35.968%,-22.193%,-23.252%,47.507%,-5.073%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"20,293","21,345","14,186","20,424","39,614","26,972","11,448","16,610","35,209","77,342","20,787","73,625","25,096","31,805","36,262","18,107","12,986","14,258","28,235","170,515",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"213,479","101,759","188,264","290,975","455,863","90,146","140,963","170,193","416,958","464,544","174,117","511,490","378,822","206,785","321,871","127,479","209,476","195,336","297,499","56,848",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,007,901","2,243,473","2,449,853","1,784,343","1,749,437","1,548,070","1,745,109","1,953,008","1,804,169","2,041,444","2,019,781","1,864,271","2,395,911","1,158,830","1,097,482","1,568,881","555,605","679,414","876,815","895,242",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"5,492,844","3,491,800","2,845,483","4,144,336","3,469,067","3,170,199","3,398,167","3,184,948","2,856,160","1,874,383","1,084,052","1,414,401","1,837,720","2,643,544","3,258,115","1,236,651","1,086,753","1,713,435","2,059,606","1,798,047",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"8,502,922","5,737,450","5,297,513","5,933,498","5,223,323","4,723,088","5,148,095","5,153,098","4,665,458","3,920,568","3,108,574","3,304,806","4,237,838","3,807,237","4,359,147","2,808,942","1,645,475","2,397,239","2,939,539","2,694,709",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-8,289,443","-5,635,691","-5,109,249","-5,642,523","-4,767,460","-4,632,942","-5,007,132","-4,982,905","-4,248,500","-3,456,024","-2,934,457","-2,793,316","-3,859,016","-3,600,452","-4,037,276","-2,681,463","-1,435,999","-2,201,903","-2,642,040","-2,637,861",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"549,621",-,"237,568",-,-,-,47,"2,478","1,620","4,034","4,342",930,-,"3,054",661,"1,853",390,"9,511","8,048","2,846",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"373,878","561,314","540,431",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-7,365,944","-5,074,377","-4,331,250","-5,642,523","-4,767,460","-4,632,942","-5,007,085","-4,980,427","-4,246,880","-3,451,990","-2,930,115","-2,792,386","-3,859,016","-3,597,398","-4,036,615","-2,679,610","-1,435,609","-2,192,392","-2,633,992","-2,635,015",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,"-195,877",-,114,"-3,893","-3,513",-,-,-,-,-,-,"-1,240",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,"-11,813",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-1,467,000","-711,000",-,-,-,-,-,-,-,-,"158,524",-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-8,832,944","-5,981,254","-4,343,063","-5,642,409","-4,771,353","-4,636,455","-5,007,085","-4,980,427","-4,246,880","-3,451,990","-2,771,591","-2,792,386","-3,860,256","-3,597,398","-4,036,615","-2,679,610","-1,435,609","-2,192,392","-2,633,992","-2,635,015",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-8,832,944","-5,981,254","-4,343,063","-5,642,409","-4,771,353","-4,636,455","-5,007,085","-4,980,427","-4,246,880","-3,451,990","-2,771,591","-2,792,386","-3,860,256","-3,597,398","-4,036,615","-2,679,610","-1,435,609","-2,192,392","-2,633,992","-2,635,015",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-8,832,944","-5,981,254","-4,343,063","-5,642,409","-4,771,353","-4,636,455","-5,007,085","-4,980,427","-4,246,880","-3,451,990","-2,771,591","-2,792,386","-3,860,256","-3,597,398","-4,036,615","-2,679,610","-1,435,609","-2,192,392","-2,633,992","-2,635,015",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"28,729,641","28,638,878","28,585,228","22,134,092","16,191,723","14,042,214","11,003,588","8,472,486","8,447,630","8,424,003","8,411,798","7,358,720","6,447,803","6,368,025","5,333,806","2,067,565","1,519,457","1,366,761","1,215,650","1,199,083",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"28,729,641","28,638,878","28,585,228","22,134,092","16,191,723","14,042,214","11,003,588","8,472,486","8,447,630","8,424,003","8,411,798","7,358,720","6,447,803","6,368,025","5,333,806","2,067,565","1,519,457","1,366,761","1,215,650","1,199,083",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),77.434%,103.948%,159.781%,161.247%,91.672%,66.693%,30.811%,15.135%,31.016%,32.286%,57.707%,255.912%,324.349%,365.921%,338.762%,72.429%,25.486%,35.305%,33.942%,36.360%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.307,-0.209,-0.152,-0.255,-0.295,-0.330,-0.455,-0.588,-0.503,-0.410,-0.329,-0.379,-0.599,-0.565,-0.757,-1.296,-0.945,-1.604,-2.167,-2.198,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.307,-0.210,-0.152,-0.255,-0.295,-0.330,-0.455,-0.588,-0.503,-0.410,-0.329,-0.379,-0.599,-0.565,-0.757,-1.296,-0.945,-1.604,-2.167,-2.198,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-8,192,406","-3,848,132","-6,182,133","-4,297,302","-4,041,199","-3,478,706","-4,370,239","-2,746,780","-3,191,955","-4,355,743","-4,834,849","-2,611,671","-3,026,842","-4,462,466","-4,926,819","-3,061,347","-1,608,382","-2,063,706","-1,859,877","-2,220,009",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.285,-0.134,-0.216,-0.194,-0.250,-0.248,-0.397,-0.324,-0.378,-0.517,-0.575,-0.355,-0.469,-0.701,-0.924,-1.481,-1.059,-1.510,-1.530,-1.851,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,91.319%,82.661%,92.993%,93.441%,92.005%,76.970%,92.489%,91.108%,92.213%,85.727%,89.335%,87.417%,93.787%,86.670%,89.875%,87.563%,94.162%,93.197%,91.332%,25.003%,Upgrade,Financials in USD,Fiscal year is January - December
