Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+15 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+15 Quarters,,
Revenue,"41,691","22,438","9,302","1,807,885","1,000,000",-,-,-,-,"10,000,000",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-95.831%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"25,000","25,000","32,674","21,563,074","25,000","25,000","25,000","30,067,217","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","20,833","12,500","125,001",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"16,691","-2,562","-23,372","-19,755,189","975,000","-25,000","-25,000","-30,067,217","-25,000","9,975,000","-25,000","-25,000","-25,000","-25,000","-25,000","-25,000","-25,000","-20,833","-12,500","-125,001",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","2,041,268","2,448,130","2,670,581","2,954,814","2,696,779","2,920,672","3,337,426","3,228,847","2,651,543","2,792,894","2,569,987","2,401,646","2,211,334","1,797,637","1,940,328","1,777,126","1,353,069","1,557,548","1,861,765","1,361,893",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"2,656,772","4,908,774","3,328,520","-17,738,543","6,674,636","6,043,684","5,020,223","-17,065,497","4,462,250","6,797,784","5,805,462","7,116,469","10,432,603","7,340,289","5,728,206","6,638,409","6,203,753","5,547,450","2,379,804","2,373,916",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"4,698,040","7,356,904","5,999,101","-14,783,729","9,371,415","8,964,356","8,357,649","-13,836,650","7,113,793","9,590,678","8,375,449","9,518,115","12,643,937","9,137,926","7,668,534","8,415,535","7,556,822","7,104,998","4,241,569","3,735,809",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-4,681,349","-7,359,466","-6,022,473","-4,971,460","-8,396,415","-8,989,356","-8,382,649","-16,230,567","-7,138,793","384,322","-8,400,449","-9,543,115","-12,668,937","-9,162,926","-7,693,534","-8,440,535","-7,581,822","-7,125,831","-4,254,069","-3,860,810",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-21,152","20,270,122","-732,883","113,898","97,319","227,124","340,148","287,344","118,950","29,676","1,779",834,"1,508",175,3,-940,-986,"1,618","1,821","-5,653",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-4,702,501","12,910,656","-6,755,356","-4,857,562","-8,299,096","-8,762,232","-8,042,501","-15,943,223","-7,019,843","413,998","-8,398,670","-9,542,281","-12,667,429","-9,162,751","-7,693,531","-8,441,475","-7,582,808","-7,124,213","-4,252,248","-3,866,463",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-400,000",-,-,-,-,-,-,-,-,-,-,"369,887",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-4,702,501","12,910,656","-6,755,356","-5,057,562","-8,299,096","-8,762,232","-8,042,501","-15,943,223","-7,019,843","413,998","-8,398,670","-9,542,281","-12,667,429","-9,162,751","-7,323,644","-8,441,475","-7,582,808","-7,124,213","-4,252,248","-3,866,463",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-4,702,501","12,910,656","-6,755,356","-5,057,562","-8,299,096","-8,762,232","-8,042,501","-15,943,223","-7,019,843","413,998","-8,398,670","-9,542,281","-12,667,429","-9,162,751","-7,323,644","-8,441,475","-7,582,808","-7,124,213","-4,252,248","-3,866,463",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,863",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-4,702,501","12,910,656","-6,755,356","-5,057,562","-8,299,096","-8,762,232","-8,042,501","-15,943,223","-7,019,843","413,998","-8,398,670","-9,542,281","-12,667,429","-9,162,751","-7,323,644","-8,441,475","-7,589,671","-7,124,213","-4,252,248","-3,866,463",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"8,534,433","8,411,242","8,376,186","7,295,838","7,587,637","7,200,260","7,126,459","6,802,317","7,068,540","7,056,894","6,995,340","4,335,678","5,897,957","4,203,048","3,708,547","3,185,111","2,632,345","2,225,895","1,983,282","1,503,932",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"8,534,433","8,476,231","8,376,186","7,295,838","7,587,637","7,200,260","7,126,459","6,802,317","7,068,540","7,114,116","6,995,340","4,335,678","5,897,957","4,203,048","3,708,547","3,185,111","2,632,345","2,225,895","1,983,282","1,503,932",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),12.478%,17.721%,17.536%,7.255%,7.344%,1.211%,1.874%,56.892%,19.847%,69.261%,88.628%,36.123%,124.057%,88.825%,86.990%,111.786%,89.339%,65.851%,108.362%,57.897%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.551,1.535,-0.806,-0.693,-1.094,-1.217,-1.129,-2.344,-0.993,0.059,-1.201,-2.201,-2.148,-2.180,-1.975,-2.650,-2.883,-3.201,-2.144,-2.571,Upgrade,Financials in USD,Fiscal year is January - December
