Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,"93,761,000","8,192,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"1,590,000","707,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"92,171,000","7,485,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","28,972,000","30,186,000","26,557,000","22,169,000","18,275,000","17,072,000","18,027,000","16,723,000","17,664,000","14,159,000","12,745,000","10,786,000","9,392,000","5,525,000","3,454,000","1,979,000","1,024,000","872,000","808,000",Financials in USD,Fiscal year is January - December
Research & Development,"33,563,000","92,106,000","35,210,000","37,348,000","33,163,000","32,182,000","27,828,000","26,020,000","22,035,000","22,560,000","15,003,000","11,189,000","9,849,000","9,914,000","12,632,000","4,165,000","2,537,000","1,437,000","961,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"62,535,000","122,292,000","61,767,000","59,517,000","51,438,000","49,254,000","45,855,000","42,743,000","39,699,000","36,719,000","27,748,000","21,975,000","19,241,000","15,439,000","16,086,000","6,144,000","3,561,000","2,309,000","1,769,000",Financials in USD,Fiscal year is January - December
Operating Income,"29,636,000","-114,807,000","-61,767,000","-59,517,000","-51,438,000","-49,254,000","-45,855,000","-42,743,000","-39,699,000","-36,719,000","-27,748,000","-21,975,000","-19,241,000","-15,439,000","-16,086,000","-6,144,000","-3,561,000","-2,309,000","-1,769,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,"-6,000","-7,000","-7,000","-8,000","-9,000","-10,000","-3,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"5,322,000","3,962,000","4,365,000","5,024,000","5,291,000","3,406,000","3,466,000","2,660,000","1,895,000","189,000","2,000","23,000",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,197,000","107,990,000","-10,000","-18,000","-3,000","-15,000","-4,000","-26,000","9,000",-,"-1,000","14,000","7,000","-27,000","-8,000","-29,448,000","-272,000","-90,000","-220,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"36,155,000","-2,855,000","-57,412,000","-54,511,000","-46,150,000","-45,863,000","-42,393,000","-40,109,000","-37,795,000","-36,530,000","-27,747,000","-21,938,000","-19,240,000","-15,473,000","-16,101,000","-35,600,000","-3,842,000","-2,409,000","-1,992,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"-5,000,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"36,155,000","-2,855,000","-62,412,000","-54,511,000","-46,150,000","-45,863,000","-42,393,000","-40,109,000","-37,795,000","-36,530,000","-27,747,000","-21,938,000","-19,240,000","-15,473,000","-16,101,000","-35,600,000","-3,842,000","-2,409,000","-1,992,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"-882,000","1,552,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"37,037,000","-4,407,000","-62,412,000","-54,511,000","-46,150,000","-45,863,000","-42,393,000","-40,109,000","-37,795,000","-36,530,000","-27,747,000","-21,938,000","-19,240,000","-15,473,000","-16,101,000","-35,600,000","-3,842,000","-2,409,000","-1,992,000",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,191,000","919,000","1,223,000","1,018,000","649,000","457,000",Financials in USD,Fiscal year is January - December
Net Income,"37,037,000","-4,407,000","-62,412,000","-54,511,000","-46,150,000","-45,863,000","-42,393,000","-40,109,000","-37,795,000","-36,530,000","-27,747,000","-21,938,000","-19,240,000","-14,282,000","-15,182,000","-34,377,000","-2,824,000","-1,760,000","-1,535,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,"99,994,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income to Common,"37,037,000","-4,407,000","-62,412,000","-54,511,000","-46,150,000","-45,863,000","-42,393,000","-40,109,000","-37,795,000","-36,530,000","-27,747,000","-21,938,000","-19,240,000","-114,276,000","-15,182,000","-34,377,000","-2,824,000","-1,760,000","-1,535,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"96,623,123","87,121,310","86,679,282","86,045,305","85,952,501","74,964,878","71,972,888","71,298,770","71,008,993","60,760,527","58,382,444","58,262,627","57,514,218","22,661,889","5,892,145","5,747,877","5,601,511","5,456,203","2,284,257",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"96,937,759","87,121,310","86,679,282","86,045,305","85,952,501","74,964,878","71,972,888","71,298,770","71,008,993","60,760,527","58,382,444","58,262,627","57,514,218","22,661,889","5,892,145","5,747,877","5,601,511","5,456,203","2,284,257",Financials in USD,Fiscal year is January - December
Shares Change (YoY),12.781%,16.216%,20.433%,20.683%,21.045%,23.378%,23.278%,22.375%,23.463%,168.118%,890.852%,913.637%,926.763%,315.342%,157.946%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),0.383,-0.051,-0.720,-0.634,-0.537,-0.612,-0.589,-0.563,-0.532,-0.601,-0.475,-0.377,-0.335,-5.043,-2.577,-5.981,-0.504,-0.323,-0.672,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.380,-0.051,-0.720,-0.634,-0.540,-0.612,-0.589,-0.563,-0.532,-0.601,-0.475,-0.377,-0.335,-5.043,-2.577,-5.981,-0.504,-0.323,-0.672,Financials in USD,Fiscal year is January - December
Free Cash Flow,"50,029,000","-49,155,000","-49,729,000","-41,380,000","-37,105,000","-42,581,000","-26,011,000","-35,310,000","-23,218,000","-29,794,000","-21,578,000","-13,169,000","-12,221,000","-13,406,000","-9,743,000","-5,937,000","-3,578,000","-1,893,000","-2,173,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.516,-0.564,-0.574,-0.481,-0.432,-0.568,-0.361,-0.495,-0.327,-0.490,-0.370,-0.226,-0.212,-0.592,-1.654,-1.033,-0.639,-0.347,-0.951,Financials in USD,Fiscal year is January - December
Gross Margin,98.304%,91.370%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,31.608%,-1401.453%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,39.501%,-53.796%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,53.358%,-600.037%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"30,238,000","-114,494,000","-61,744,000","-59,504,000","-51,427,000","-49,248,000","-45,849,000","-42,728,000","-39,663,000","-36,713,000","-27,742,000","-21,970,000","-19,236,000","-15,434,000","-16,081,000","-6,138,000","-3,556,000","-2,306,500",-,Financials in USD,Fiscal year is January - December
EBITDA Margin,32.250%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"602,000","313,000","23,000","13,000","11,000","6,000","6,000","15,000","36,000","6,000","6,000","5,000","5,000","5,000","5,000","6,000","5,000","2,500",-,Financials in USD,Fiscal year is January - December
