Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"217,951,000","251,455,000","477,706,000","313,837,000","76,657,000","54,184,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-30.806%,-47.362%,52.215%,309.404%,41.475%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"41,537,000","54,005,000","204,216,000","129,690,000","15,611,000",-,Financials in USD,Fiscal year is January - December
Gross Profit,"176,414,000","197,450,000","273,490,000","184,147,000","61,046,000","54,184,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","250,244,000","350,663,000","1,403,161,000","862,952,000","38,306,000","29,483,000",Financials in USD,Fiscal year is January - December
Research & Development,"464,722,000","580,621,000","1,052,643,000","1,149,662,000","159,767,000","96,299,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"714,966,000","931,284,000","2,455,804,000","2,012,614,000","198,073,000","125,782,000",Financials in USD,Fiscal year is January - December
Operating Income,"-538,552,000","-733,834,000","-2,182,314,000","-1,828,467,000","-137,027,000","-71,598,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-93,000","-93,000","-106,000","-2,373,000","-2,385,000","-2,421,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"44,578,000","57,217,000","20,262,000","837,000","2,582,000","5,756,000",Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"-1,119,000","-2,635,000","-43,761,000","-77,284,000","-396,000","-27,533,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"15,170,000","14,306,000","132,604,000","56,882,000","7,839,000","3,061,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-480,016,000","-665,039,000","-2,073,315,000","-1,850,405,000","-129,387,000","-92,735,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"76,195,000",-,"-27,900,000",-,-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-26,294,000","-54,827,000","-53,335,000","-11,543,000","-3,733,000","-27,200,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-49,515,000","-42,502,000","31,889,000",-,-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,"-121,404,000","-121,404,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-2,649,000","-9,168,000","1,262,000","23,826,000","8,286,000","100,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-651,541,000","-892,940,000","-2,121,399,000","-1,838,122,000","-124,834,000","-119,835,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"-352,000","-71,000","-15,027,000","-1,480,000","1,889,000","22,000",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-651,189,000","-892,869,000","-2,106,372,000","-1,836,642,000","-126,723,000","-119,857,000",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,"1,443,000","6,595,000","114,000","530,000",Financials in USD,Fiscal year is January - December
Net Income,"-651,189,000","-892,869,000","-2,104,929,000","-1,830,047,000","-126,609,000","-119,327,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-651,189,000","-892,869,000","-2,104,929,000","-1,830,047,000","-126,609,000","-119,327,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"50,796,000","48,610,500","41,976,525","33,996,225","31,869,173","28,725,010",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"50,796,000","48,610,500","41,995,975","34,009,325","31,869,173","28,725,010",Financials in USD,Fiscal year is January - December
Shares Change (YoY),6.150%,15.750%,23.484%,6.715%,10.946%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-12.820,-18.368,-50.145,-53.831,-3.973,-4.154,Financials in USD,Fiscal year is January - December
EPS (Diluted),-12.861,-18.400,-50.197,-55.534,-4.000,-4.154,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-387,258,000","-336,301,000","-304,469,000","-310,339,000","-193,651,000","-66,882,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-7.624,-6.918,-7.250,-9.125,-6.076,-2.328,Financials in USD,Fiscal year is January - December
Gross Margin,80.942%,78.523%,57.251%,58.676%,79.635%,100.000%,Financials in USD,Fiscal year is January - December
Operating Margin,-247.098%,-291.835%,-456.832%,-582.617%,-178.753%,-132.139%,Financials in USD,Fiscal year is January - December
Profit Margin,-298.778%,-355.081%,-440.633%,-583.120%,-165.163%,-220.226%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-177.681%,-133.742%,-63.736%,-98.885%,-252.620%,-123.435%,Financials in USD,Fiscal year is January - December
EBITDA,"-477,300,000","-662,280,000","-2,137,891,000","-1,799,391,000","-123,163,000","-60,843,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-218.994%,-263.379%,-,-,-160.668%,-112.290%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"61,252,000","71,554,000","44,423,000","29,076,000","13,864,000","10,755,000",Financials in USD,Fiscal year is January - December
EBIT,"-538,552,000","-733,834,000","-2,182,314,000","-1,828,467,000","-137,027,000","-71,598,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-247.098%,-291.835%,-,-,-178.753%,-132.139%,Financials in USD,Fiscal year is January - December
Revenue as Reported,"217,951,000","251,455,000","477,706,000","313,837,000","76,657,000","54,184,000",Financials in USD,Fiscal year is January - December
