Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"12,589,000","2,039,000",-,-,-,"9,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),1117.505%,-,-,-,-,-67.857%,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"12,589,000","2,039,000",-,-,-,"9,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","26,879,000","23,538,000","11,683,000","7,734,000","4,057,000","3,172,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"-6,000","-3,000","2,663,000","1,707,000","2,489,000","2,522,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"26,873,000","23,535,000","14,346,000","9,441,000","6,546,000","5,694,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-14,284,000","-21,496,000","-14,346,000","-9,441,000","-6,546,000","-5,685,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"940,000","716,000","687,000","252,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-5,086,000","-3,212,000","64,000","135,000","19,000","82,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-18,430,000","-23,992,000","-13,595,000","-9,054,000","-6,527,000","-5,603,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-300,000","-300,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-3,958,000","1,410,000","-8,512,000","1,883,000","-5,810,000","1,420,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-22,688,000","-22,882,000","-22,107,000","-7,171,000","-12,337,000","-4,183,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-22,688,000","-22,882,000","-22,107,000","-7,171,000","-12,337,000","-4,183,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,"4,109,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-22,688,000","-22,882,000","-26,216,000","-7,171,000","-12,337,000","-4,183,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"5,956,979","5,229,477","5,334,075","4,846,925","1,651,418","147,739",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"5,956,979","5,229,477","5,334,075","4,846,925","1,651,418","147,739",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),13.654%,-1.961%,10.051%,193.501%,1017.794%,32.415%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.809,-4.376,-4.915,-1.479,-7.471,-28.313,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.809,-4.376,-4.915,-1.479,-7.471,-28.313,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-16,654,000","-22,659,000","-10,597,000","-6,603,000","-4,021,000","-3,017,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.796,-4.333,-1.987,-1.362,-2.435,-20.421,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,-,-,-,100.000%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-113.464%,-1054.242%,-,-,-,-63166.667%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-180.221%,-1122.217%,-,-,-,-46477.778%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-132.290%,-1111.280%,-,-,-,-33522.222%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-14,179,000","-21,413,000",-,-,-,"-4,242,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-112.630%,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"105,000","83,000",-,-,-,"1,443,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-14,284,000","-21,496,000","-14,346,000","-9,441,000","-6,546,000","-5,685,000",Upgrade,Financials in USD,Fiscal year is January - December
