Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
"Selling, General & Admin","2,117,000","2,188,000","1,976,000","2,453,000","2,252,000","2,213,000","2,338,000","2,605,000","2,531,000","2,564,000","3,546,000","714,000","602,000","481,000","546,000","475,000","475,000","375,000","375,000",Financials in USD,Fiscal year is January - December
Research & Development,"6,173,000","6,866,000","6,448,000","7,490,000","6,673,000","5,955,000","6,306,000","5,380,000","4,827,000","5,448,000","5,235,000","3,229,000","3,032,000","2,997,000","2,189,000","2,238,000","2,238,000","1,534,000","1,534,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"8,290,000","9,054,000","8,424,000","9,943,000","8,925,000","8,168,000","8,644,000","7,985,000","7,358,000","8,012,000","8,781,000","3,943,000","3,634,000","3,478,000","2,735,000","2,713,000","2,713,000","1,909,000","1,909,000",Financials in USD,Fiscal year is January - December
Operating Income,"-8,290,000","-9,054,000","-8,424,000","-9,943,000","-8,925,000","-8,168,000","-8,644,000","-7,985,000","-7,358,000","-8,012,000","-8,781,000","-3,943,000","-3,634,000","-3,478,000","-2,735,000","-2,713,000","-2,713,000","-1,909,000","-1,909,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,"-151,000",-,"-75,000",-,-,-,-,-,-,"-50,000",-,"-1,168,000",-,"-503,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,325,000","1,880,000","444,000","877,000","2,030,000","1,456,000","478,000","7,988,000","4,744,000","473,000",-,"13,833,000",-,"645,000",-,"142,000","142,000","164,500","164,500",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-430,000","430,000",-,"-210,000","-220,000","220,000",-,"413,000",-,"-260,000",-,"-412,000",-,"-425,000",-,"8,500","8,500","42,000","42,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"471,000","-471,000",-,"1,994,000","2,164,000","-2,175,000",-,"-3,809,000",-,"5,806,000","-16,911,000","-13,273,000",-,"-3,709,000","-8,462,000","147,500","147,500","-244,500","-244,500",Financials in USD,Fiscal year is January - December
Pretax Income,"-6,924,000","-7,366,000","-7,980,000","-7,357,000","-4,951,000","-8,667,000","-8,166,000","-3,393,000","-2,614,000","-1,993,000","-25,742,000","-3,795,000","-4,802,000","-6,967,000","-11,700,000","-2,415,000","-2,415,000","-1,947,000","-1,947,000",Financials in USD,Fiscal year is January - December
