Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Sep '24 Sep 30, 2024","Sep '23 Sep 30, 2023","Sep '22 Sep 30, 2022","Sep '21 Sep 30, 2021","Sep '20 Sep 30, 2020",2019,,
"Selling, General & Admin","1,436,626","1,436,626","2,199,819","2,551,075","2,309,131","120,074",Upgrade,Financials in CAD,Fiscal year is October - September
Research & Development,"1,180,010","1,180,010","4,999,944","12,180,938","6,313,988","354,852",Upgrade,Financials in CAD,Fiscal year is October - September
Operating Expenses,"2,616,636","2,616,636","7,199,763","14,732,013","8,623,119","474,926",Upgrade,Financials in CAD,Fiscal year is October - September
Operating Income,"-2,616,636","-2,616,636","-7,199,763","-14,732,013","-8,623,119","-474,926",Upgrade,Financials in CAD,Fiscal year is October - September
Interest Expense,"-8,945","-8,945",-,-,-,-,Upgrade,Financials in CAD,Fiscal year is October - September
Interest & Investment Income,"30,133","30,133",-,-,-,-,Upgrade,Financials in CAD,Fiscal year is October - September
Currency Exchange Gain (Loss),"-9,312","-9,312","14,189","12,151","154,099",-,Upgrade,Financials in CAD,Fiscal year is October - September
Other Non Operating Income (Expenses),"-197,186","-197,186","-186,651","-243,079","-181,743","-5,451",Upgrade,Financials in CAD,Fiscal year is October - September
EBT Excluding Unusual Items,"-2,801,946","-2,801,946","-7,372,225","-14,962,941","-8,650,763","-480,377",Upgrade,Financials in CAD,Fiscal year is October - September
Asset Writedown,-,-,-,"-2,000",-,-,Upgrade,Financials in CAD,Fiscal year is October - September
Pretax Income,"-2,801,946","-2,801,946","-7,372,225","-14,964,941","-8,650,763","-480,377",Upgrade,Financials in CAD,Fiscal year is October - September
Net Income,"-2,801,946","-2,801,946","-7,372,225","-14,964,941","-8,650,763","-480,377",Upgrade,Financials in CAD,Fiscal year is October - September
Net Income to Common,"-2,801,946","-2,801,946","-7,372,225","-14,964,941","-8,650,763","-480,377",Upgrade,Financials in CAD,Fiscal year is October - September
Shares Outstanding (Basic),"4,310,168","4,310,168","3,719,775","2,470,383","1,794,805","722,487",Upgrade,Financials in CAD,Fiscal year is October - September
Shares Outstanding (Diluted),"4,310,168","4,310,168","3,719,775","2,470,383","1,794,805","722,487",Upgrade,Financials in CAD,Fiscal year is October - September
Shares Change (YoY),15.872%,15.872%,50.575%,37.641%,148.420%,74.241%,Upgrade,Financials in CAD,Fiscal year is October - September
EPS (Basic),-0.650,-0.650,-1.982,-6.058,-4.820,-0.665,Upgrade,Financials in CAD,Fiscal year is October - September
EPS (Diluted),-0.650,-0.650,-1.982,-6.060,-4.820,-0.665,Upgrade,Financials in CAD,Fiscal year is October - September
Free Cash Flow,"-1,850,186","-1,850,186","-7,024,265","-13,587,116","-7,319,301","-288,392",Upgrade,Financials in CAD,Fiscal year is October - September
Free Cash Flow Per Share,-0.429,-0.429,-1.888,-5.500,-4.078,-0.399,Upgrade,Financials in CAD,Fiscal year is October - September
EBIT,"-2,616,636","-2,616,636","-7,199,763","-14,732,013","-8,623,119","-474,926",Upgrade,Financials in CAD,Fiscal year is October - September
