Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+8 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+8 Quarters,,
Revenue,"576,000","49,898,000","17,584,000","7,038,000","13,120,000","19,789,000","8,780,000","10,598,000","7,363,000","3,820,000","3,317,000","6,339,000","24,036,000","68,805,000","16,349,000","8,846,000","7,363,000","1,078,000","6,998,000","6,522,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-95.610%,152.150%,100.273%,-33.591%,78.188%,418.037%,164.697%,67.187%,-69.367%,-94.448%,-79.711%,-28.340%,226.443%,6282.653%,133.624%,35.633%,51.346%,-79.996%,28.122%,32.024%,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"576,000","49,898,000","17,584,000","7,038,000","13,120,000","19,789,000","8,780,000","10,598,000","7,363,000","3,820,000","3,317,000","6,339,000","24,036,000","68,805,000","16,349,000","8,846,000","7,363,000","1,078,000","6,998,000","6,522,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","9,295,000","9,082,000","8,963,000","9,219,000","10,157,000","10,454,000","11,628,000","10,570,000","10,739,000","11,264,000","11,321,000","14,155,000","9,638,000","10,934,000","10,398,000","12,554,000","8,534,000","8,703,000","9,615,000","11,509,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"12,556,000","16,670,000","12,808,000","12,709,000","15,326,000","12,464,000","10,506,000","12,137,000","11,300,000","22,110,000","19,331,000","22,908,000","25,940,000","36,239,000","24,693,000","19,772,000","24,873,000","25,183,000","24,879,000","16,874,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"21,851,000","25,752,000","21,771,000","21,928,000","25,483,000","22,918,000","22,134,000","22,707,000","22,039,000","33,374,000","30,652,000","37,063,000","35,578,000","47,173,000","35,091,000","32,326,000","33,407,000","33,886,000","34,494,000","28,383,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-21,275,000","24,146,000","-4,187,000","-14,890,000","-12,363,000","-3,129,000","-13,354,000","-12,109,000","-14,676,000","-29,554,000","-27,335,000","-30,724,000","-11,542,000","21,632,000","-18,742,000","-23,480,000","-26,044,000","-32,808,000","-27,496,000","-21,861,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-256,000","-560,000","-574,000","-579,000","-576,000","-553,000","-522,000","-486,000","-405,000","-178,000","-42,000","-53,000","-55,000","-24,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,763,000","1,843,000","1,663,000","1,827,000","1,870,000","1,946,000","2,043,000","1,937,000","1,172,000","192,000","172,000","63,000","44,000","48,000","53,000","27,000","28,000","107,000","660,000","945,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"-875,000","-950,000","1,713,000","-871,000","-1,350,000","-1,369,000","-1,341,000","2,604,000","-1,782,000","-1,448,000","-952,000","184,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"3,647,000","8,459,000","10,038,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-16,996,000","32,938,000","8,653,000","-14,513,000","-12,419,000","-3,105,000","-13,174,000","-8,054,000","-15,691,000","-30,988,000","-28,157,000","-30,530,000","-11,553,000","21,656,000","-18,689,000","-23,453,000","-26,016,000","-32,701,000","-26,836,000","-20,916,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"571,000",-,-,"1,603,000","311,000",-,"-769,000","-510,000",-,-,-,"2,281,000","274,000",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,"-189,000","-65,000","-524,000","-2,000","72,000","-7,000","-19,000",-,"-47,000","-11,000","5,959,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,"-10,844,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-16,425,000","32,749,000","8,588,000","-13,434,000","-12,110,000","-3,033,000","-13,950,000","-19,427,000","-15,691,000","-31,035,000","-28,168,000","-22,290,000","-11,279,000","21,656,000","-18,689,000","-23,453,000","-26,016,000","-32,701,000","-26,836,000","-20,916,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-16,425,000","32,749,000","8,588,000","-13,434,000","-12,110,000","-3,033,000","-13,950,000","-19,427,000","-15,691,000","-31,035,000","-28,168,000","-22,290,000","-11,279,000","21,656,000","-18,689,000","-23,453,000","-26,016,000","-32,701,000","-26,836,000","-20,916,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,-,-,"-2,855,000","4,031,000","-8,858,000","-11,110,000","-9,061,000","-8,255,000",-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-16,425,000","32,749,000","8,588,000","-16,289,000","-8,079,000","-11,891,000","-25,060,000","-28,488,000","-23,946,000","-31,035,000","-28,168,000","-22,290,000","-11,279,000","21,656,000","-18,689,000","-23,453,000","-26,016,000","-32,701,000","-26,836,000","-20,916,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-16,425,000","32,749,000","8,588,000","-16,289,000","-8,079,000","-11,891,000","-25,060,000","-28,488,000","-23,946,000","-31,035,000","-28,168,000","-22,290,000","-11,279,000","21,656,000","-18,689,000","-23,453,000","-26,016,000","-32,701,000","-26,836,000","-20,916,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"7,287,173","6,966,680","5,060,978","4,010,467","3,838,900","3,803,083","3,709,894","3,698,579","3,694,970","2,265,154","2,034,390","2,023,222","1,988,587","1,924,652","1,887,499","1,751,763","1,744,889","1,730,306","1,710,424","1,698,591",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"7,287,173","7,011,630","5,063,406","4,010,467","3,838,900","3,803,083","3,709,894","3,698,579","3,694,970","2,265,154","2,034,390","2,023,222","1,988,587","1,994,719","1,887,499","1,751,763","1,744,889","1,730,306","1,710,424","1,698,591",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),89.825%,84.367%,36.484%,8.433%,3.895%,67.895%,82.359%,82.806%,85.809%,13.558%,7.782%,15.496%,13.966%,15.281%,10.353%,3.130%,3.404%,3.745%,221.367%,221.523%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.254,4.701,1.697,-4.062,-2.105,-3.127,-6.755,-7.702,-6.481,-13.701,-13.846,-11.017,-5.672,11.252,-9.901,-13.388,-14.910,-18.899,-15.690,-12.314,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.254,4.670,1.697,-4.062,-2.105,-3.129,-6.755,-7.702,-6.481,-13.701,-13.846,-11.069,-5.700,10.800,-9.901,-13.388,-14.910,-18.900,-15.690,-12.314,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-5,951,000","-14,897,000","-19,067,000","-8,397,000","-23,479,000","-22,210,000","-31,985,000","-22,475,000","28,096,000","-25,003,000","-29,690,000","-25,186,000","-24,638,000","-33,029,000","66,947,000","-14,548,000","-23,270,000","-27,586,000","-27,013,000","-26,085,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.817,-2.125,-3.766,-2.094,-6.116,-5.840,-8.622,-6.077,7.604,-11.038,-14.594,-12.448,-12.390,-16.558,35.469,-8.305,-13.336,-15.943,-15.793,-15.357,Upgrade,Financials in USD,Fiscal year is January - December
