Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
"Selling, General & Admin","12,859,000","9,699,000","24,618,000","8,844,000","7,022,000","7,606,000","7,928,000","6,955,000","7,609,000","6,091,000","7,547,000","9,659,000","6,256,000","6,293,000","6,509,000","6,502,000","3,841,000","1,341,000","1,764,000","1,211,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"92,800,000","62,263,000","44,539,000","58,844,000","55,251,000","59,130,000","37,536,000","33,190,000","34,670,000","46,664,000","28,236,000","42,301,000","36,510,000","23,872,000","18,625,000","22,098,000","9,679,000","7,334,000","6,089,000","4,259,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"105,659,000","71,962,000","69,157,000","67,688,000","62,273,000","66,736,000","45,464,000","40,145,000","42,279,000","52,755,000","35,783,000","51,960,000","42,766,000","30,165,000","25,134,000","28,600,000","13,520,000","8,675,000","7,853,000","5,470,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-105,659,000","-71,962,000","-69,157,000","-67,688,000","-62,273,000","-66,736,000","-45,464,000","-40,145,000","-42,279,000","-52,755,000","-35,783,000","-51,960,000","-42,766,000","-30,165,000","-25,134,000","-28,600,000","-13,520,000","-8,675,000","-7,853,000","-5,470,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-81,000","-130,000","-127,000","-57,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"9,276,000","7,052,000","3,002,000","1,751,000","2,189,000","2,207,000","1,493,000","1,342,000","903,000","441,000","230,000","182,000","184,000","210,000","166,000","32,000",-,-,"24,000","67,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,"-192,000","500,000","-1,393,000",-,"-373,000",-,"-20,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-742,000",-,"6,000","715,000","-126,000",-,"-216,000",-,-,-,-,-,-,-,-,-,"-270,000","-180,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-97,125,000","-65,102,000","-65,649,000","-66,615,000","-60,210,000","-64,902,000","-44,187,000","-38,823,000","-41,376,000","-52,314,000","-35,553,000","-51,778,000","-42,582,000","-29,955,000","-24,968,000","-28,649,000","-13,920,000","-8,982,000","-7,886,000","-5,403,000",Upgrade,Financials in USD,Fiscal year is January - December
