Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+11 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+11 Quarters,,
Revenue,"1,030,000,000","1,184,000,000","1,205,000,000","1,035,000,000","1,068,000,000","1,057,000,000","1,257,000,000","985,000,000","1,026,000,000","1,175,000,000","1,226,000,000","1,112,000,000","1,131,000,000","1,279,000,000","1,242,000,000","1,139,000,000","890,000,000","586,000,000","658,000,000","787,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-3.558%,12.015%,-4.137%,5.076%,4.094%,-10.043%,2.529%,-11.421%,-9.284%,-8.131%,-1.288%,-2.371%,27.079%,118.259%,88.754%,44.727%,15.390%,-25.026%,-9.999%,-1.539%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"492,000,000","495,000,000","515,000,000","514,000,000","487,000,000","434,000,000","494,000,000","448,000,000","472,000,000","484,000,000","509,000,000","446,000,000","502,000,000","551,000,000","569,000,000","539,000,000","442,000,000","296,000,000","333,000,000","410,100,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"538,000,000","689,000,000","690,000,000","521,000,000","581,000,000","623,000,000","763,000,000","537,000,000","554,000,000","691,000,000","717,000,000","666,000,000","629,000,000","728,000,000","673,000,000","600,000,000","448,000,000","290,000,000","325,000,000","376,900,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","323,000,000","354,000,000","337,000,000","287,000,000","313,000,000","353,000,000","327,000,000","296,000,000","298,000,000","343,000,000","323,000,000","327,000,000","340,000,000","382,000,000","346,000,000","363,000,000","278,000,000","161,000,000","180,000,000","185,900,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"87,000,000","89,000,000","87,000,000","79,000,000","86,000,000","81,000,000","81,000,000","80,000,000","78,000,000","82,000,000","81,000,000","92,000,000","94,000,000","94,000,000","89,000,000","113,000,000","88,000,000","59,000,000","67,000,000","67,300,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"543,000,000","574,000,000","557,000,000","504,000,000","539,000,000","570,000,000","542,000,000","506,000,000","504,000,000","558,000,000","541,000,000","558,000,000","575,000,000","605,000,000","582,000,000","639,000,000","462,000,000","269,000,000","299,000,000","304,600,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-5,000,000","115,000,000","133,000,000","17,000,000","42,000,000","53,000,000","221,000,000","31,000,000","50,000,000","133,000,000","176,000,000","108,000,000","54,000,000","123,000,000","91,000,000","-39,000,000","-14,000,000","21,000,000","26,000,000","72,300,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-58,000,000","-65,000,000","-66,000,000","-67,000,000","-72,000,000","-74,000,000","-64,000,000","-62,000,000","-60,000,000","-67,000,000","-52,000,000","-55,000,000","-60,000,000","-60,000,000","-61,000,000","-61,000,000","-48,000,000","-25,000,000","-16,000,000","-18,700,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-9,000,000","3,000,000","-9,000,000","-42,000,000","-1,000,000","-1,000,000","2,000,000","-18,000,000","-5,000,000","-7,000,000","-8,000,000","-6,000,000","-2,000,000","7,000,000","-34,000,000","-15,000,000","-2,000,000","-6,000,000","-28,000,000","-4,300,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"8,000,000","-5,000,000",-,"25,500,000","-8,000,000","-7,000,000","-11,000,000","-9,000,000","-3,000,000","13,000,000","-1,000,000","-35,000,000","-2,000,000","-7,000,000","32,000,000","-9,000,000","-39,000,000","6,000,000","25,000,000","5,500,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-64,000,000","48,000,000","58,000,000","-66,500,000","-39,000,000","-29,000,000","148,000,000","-58,000,000","-18,000,000","72,000,000","115,000,000","12,000,000","-10,000,000","63,000,000","28,000,000","-124,000,000","-103,000,000","-4,000,000","7,000,000","54,800,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-2,000,000","-14,000,000","-46,000,000","-9,000,000","-11,000,000","-35,000,000","-40,000,000","-28,000,000","-27,000,000","-25,000,000","-18,000,000","-165,000,000","-84,000,000","-298,000,000","-107,000,000","-216,000,000","-262,000,000","-112,000,000","-78,000,000","-62,100,000",Upgrade,Financials in USD,Fiscal year is January - December
