Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","11,798,000","11,896,000","5,630,000","7,542,889","3,001,128","2,798,268",Financials in USD,Fiscal year is January - December
Research & Development,"29,104,000","23,849,000","18,103,000","17,931,797","12,719,956","9,544,079",Financials in USD,Fiscal year is January - December
Operating Expenses,"40,902,000","35,745,000","23,733,000","25,474,686","15,721,084","12,342,347",Financials in USD,Fiscal year is January - December
Operating Income,"-40,902,000","-35,745,000","-23,733,000","-25,474,686","-15,721,084","-12,342,347",Financials in USD,Fiscal year is January - December
Interest Expense,"-223,000","-1,059,000","-3,597,000","-876,442",-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"547,000","373,000","65,000","3,392","8,942","81,481",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"392,000","204,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-6,766,000","427,000","-945,000","-52,962",-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-46,952,000","-35,800,000","-28,210,000","-26,400,698","-15,712,142","-12,260,866",Financials in USD,Fiscal year is January - December
Other Unusual Items,"1,000","605,000","2,000",-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-46,843,000","-35,195,000","-28,208,000","-26,400,698","-15,712,142","-12,260,866",Financials in USD,Fiscal year is January - December
Net Income,"-46,843,000","-35,195,000","-28,208,000","-26,400,698","-15,712,142","-12,260,866",Financials in USD,Fiscal year is January - December
Net Income to Common,"-46,843,000","-35,195,000","-28,208,000","-26,400,698","-15,712,142","-12,260,866",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"10,926,066","5,056,225","315,998","15,280,340","10,730,992","3,942,165",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"10,926,066","5,056,225","315,998","15,280,340","10,730,992","3,942,165",Financials in USD,Fiscal year is January - December
Shares Change (YoY),264.131%,1500.081%,-97.932%,42.394%,172.211%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-4.287,-6.961,-89.266,-1.728,-1.464,-3.110,Financials in USD,Fiscal year is January - December
EPS (Diluted),-4.287,-6.961,-89.266,-1.728,-1.464,-3.110,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-38,261,000","-32,760,000","-22,833,000","-24,464,404","-16,904,310","-9,783,620",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-3.502,-6.479,-72.257,-1.601,-1.575,-2.482,Financials in USD,Fiscal year is January - December
EBITDA,"-40,586,000","-35,363,000","-23,343,000","-25,223,235","-15,527,652","-12,233,981",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"316,000","382,000","390,000","251,451","193,432","108,366",Financials in USD,Fiscal year is January - December
EBIT,"-40,902,000","-35,745,000","-23,733,000","-25,474,686","-15,721,084","-12,342,347",Financials in USD,Fiscal year is January - December
