Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020",,
"Selling, General & Admin","21,128,000","17,655,000","7,769,000","4,288,000","1,078,000",Financials in USD,Fiscal year is January - December
Research & Development,"77,959,000","64,574,000","31,022,000","20,474,000","8,240,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"99,087,000","82,229,000","38,791,000","24,762,000","9,318,000",Financials in USD,Fiscal year is January - December
Operating Income,"-99,087,000","-82,229,000","-38,791,000","-24,762,000","-9,318,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"14,543,000","11,967,000","1,129,000","22,000","31,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"862,000","-22,000",-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-83,682,000","-70,284,000","-37,662,000","-24,740,000","-9,287,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-1,300,000","-1,300,000",-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,"-9,679,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-84,982,000","-71,584,000","-37,662,000","-24,740,000","-18,966,000",Financials in USD,Fiscal year is January - December
Net Income,"-85,214,000","-71,584,000","-37,662,000","-24,740,000","-18,966,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-85,214,000","-71,584,000","-37,662,000","-24,740,000","-18,966,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"44,900,292","35,546,215","3,124,274","7,814,536","4,986,826",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"44,900,292","35,546,215","3,124,274","7,814,536","4,986,826",Financials in USD,Fiscal year is January - December
Shares Change (YoY),72.231%,1037.743%,-60.020%,56.704%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.898,-2.014,-12.055,-3.166,-3.803,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.898,-2.014,-12.055,-3.166,-3.803,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-68,529,000","-61,418,000","-32,689,000","-19,325,000","-8,990,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.526,-1.728,-10.463,-2.473,-1.803,Financials in USD,Fiscal year is January - December
EBITDA,"-98,772,000","-81,932,000","-38,576,000","-24,647,000","-9,273,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"315,000","297,000","215,000","115,000","45,000",Financials in USD,Fiscal year is January - December
EBIT,"-99,087,000","-82,229,000","-38,791,000","-24,762,000","-9,318,000",Financials in USD,Fiscal year is January - December
