Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Oct '24 Oct 31, 2024","Oct '24 Oct 31, 2024","Oct '23 Oct 31, 2023","Oct '22 Oct 31, 2022","Oct '21 Oct 31, 2021","Oct '20 Oct 31, 2020",,
"Selling, General & Admin","23,982,000","23,982,000","9,602,000","3,960,000","3,408,000","3,239,000",Financials in USD,Fiscal year is November - October
Research & Development,"38,315,000","38,315,000","16,458,000","15,467,000","12,462,000","10,614,000",Financials in USD,Fiscal year is November - October
Operating Expenses,"62,297,000","62,297,000","26,060,000","19,427,000","15,870,000","13,853,000",Financials in USD,Fiscal year is November - October
Operating Income,"-62,297,000","-62,297,000","-26,060,000","-19,427,000","-15,870,000","-13,853,000",Financials in USD,Fiscal year is November - October
Interest Expense,"-2,798,000","-2,798,000","-4,953,000","-1,423,000","-5,024,000","-3,699,000",Financials in USD,Fiscal year is November - October
Interest & Investment Income,"10,413,000","10,413,000","1,117,000","129,000","25,000","56,000",Financials in USD,Fiscal year is November - October
Currency Exchange Gain (Loss),"-113,000","-113,000","-129,000","-700,000","-100,000","-100,000",Financials in USD,Fiscal year is November - October
Other Non Operating Income (Expenses),-,-,"-10,572,000","-3,019,000","-4,199,000","970,000",Financials in USD,Fiscal year is November - October
EBT Excluding Unusual Items,"-54,795,000","-54,795,000","-40,597,000","-24,440,000","-25,168,000","-16,626,000",Financials in USD,Fiscal year is November - October
Other Unusual Items,"-366,000","-366,000","-59,303,000",-,"1,727,000","1,558,000",Financials in USD,Fiscal year is November - October
Pretax Income,"-55,161,000","-55,161,000","-99,900,000","-24,440,000","-23,441,000","-15,068,000",Financials in USD,Fiscal year is November - October
Income Tax Expense,"-19,000","-19,000","17,000","22,000",-,-,Financials in USD,Fiscal year is November - October
Net Income,"-55,142,000","-55,142,000","-99,917,000","-24,462,000","-23,441,000","-15,068,000",Financials in USD,Fiscal year is November - October
Preferred Dividends & Other Adjustments,-,-,"4,822,000","4,562,000","-1,191,000","1,577,000",Financials in USD,Fiscal year is November - October
Net Income to Common,"-55,142,000","-55,142,000","-104,739,000","-29,024,000","-22,250,000","-16,645,000",Financials in USD,Fiscal year is November - October
Shares Outstanding (Basic),"37,782,346","37,782,346","692,609","655,153","3,562,638","2,763,146",Financials in USD,Fiscal year is November - October
Shares Outstanding (Diluted),"37,782,346","37,782,346","692,609","655,153","3,562,638","2,763,146",Financials in USD,Fiscal year is November - October
Shares Change (YoY),5355.076%,5355.076%,5.717%,-81.610%,28.934%,-,Financials in USD,Fiscal year is November - October
EPS (Basic),-1.459,-1.459,-151.224,-44.301,-6.245,-6.024,Financials in USD,Fiscal year is November - October
EPS (Diluted),-1.459,-1.459,-151.224,-44.301,-6.245,-6.024,Financials in USD,Fiscal year is November - October
Free Cash Flow,"-49,206,000","-49,206,000","-25,061,000","-17,745,000","-16,232,000","-13,253,000",Financials in USD,Fiscal year is November - October
Free Cash Flow Per Share,-1.302,-1.302,-36.183,-27.085,-4.556,-4.796,Financials in USD,Fiscal year is November - October
EBITDA,"-62,206,000","-62,206,000","-25,885,000","-19,189,000","-15,598,000","-13,594,000",Financials in USD,Fiscal year is November - October
D&A For EBITDA,"91,000","91,000","175,000","238,000","272,000","259,000",Financials in USD,Fiscal year is November - October
EBIT,"-62,297,000","-62,297,000","-26,060,000","-19,427,000","-15,870,000","-13,853,000",Financials in USD,Fiscal year is November - October
