Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Currency,Fiscal_Year_period
Period Ending,"Oct '24 Oct 31, 2024","Jul '24 Jul 31, 2024","Apr '24 Apr 30, 2024","Jan '24 Jan 31, 2024","Oct '23 Oct 31, 2023","Jul '23 Jul 31, 2023","Apr '23 Apr 30, 2023","Jan '23 Jan 31, 2023","Oct '22 Oct 31, 2022","Jul '22 Jul 31, 2022",,
"Selling, General & Admin","6,182,000","5,210,000","7,455,000","5,135,000","4,771,000","2,347,000","1,522,000","962,000","1,460,000","912,000",Financials in USD,Fiscal year is November - October
Research & Development,"11,273,000","11,549,000","9,855,000","5,638,000","5,671,000","3,901,000","3,215,000","3,671,000","5,079,000","4,394,000",Financials in USD,Fiscal year is November - October
Operating Expenses,"17,455,000","16,759,000","17,310,000","10,773,000","10,442,000","6,248,000","4,737,000","4,633,000","6,539,000","5,306,000",Financials in USD,Fiscal year is November - October
Operating Income,"-17,455,000","-16,759,000","-17,310,000","-10,773,000","-10,442,000","-6,248,000","-4,737,000","-4,633,000","-6,539,000","-5,306,000",Financials in USD,Fiscal year is November - October
Interest Expense,"-756,000","-751,000","-728,000","-563,000","-1,159,000","-1,442,000","-1,177,000","-1,175,000","-537,000","-376,000",Financials in USD,Fiscal year is November - October
Interest & Investment Income,"3,024,000","3,380,000","2,984,000","1,025,000","407,000","394,000","149,000","167,000","69,000","30,000",Financials in USD,Fiscal year is November - October
Currency Exchange Gain (Loss),"-93,000","-47,000",-,-,"396,000","-439,000",-,-,"-600,000","-100,000",Financials in USD,Fiscal year is November - October
Other Non Operating Income (Expenses),-,-,"91,000","-64,000","-15,320,000","5,956,000","483,000","-1,777,000","-737,000","-995,000",Financials in USD,Fiscal year is November - October
EBT Excluding Unusual Items,"-15,280,000","-14,177,000","-14,963,000","-10,375,000","-26,118,000","-1,779,000","-5,282,000","-7,418,000","-8,344,000","-6,747,000",Financials in USD,Fiscal year is November - October
Other Unusual Items,-,-,-,"-366,000","-56,362,000","-2,941,000",-,-,-,-,Financials in USD,Fiscal year is November - October
Pretax Income,"-15,280,000","-14,177,000","-14,963,000","-10,741,000","-82,480,000","-4,720,000","-5,282,000","-7,418,000","-8,344,000","-6,747,000",Financials in USD,Fiscal year is November - October
Income Tax Expense,"19,000","-29,000","21,000","-30,000","17,000",-,-,-,"22,000",-,Financials in USD,Fiscal year is November - October
Net Income,"-15,299,000","-14,148,000","-14,984,000","-10,711,000","-82,497,000","-4,720,000","-5,282,000","-7,418,000","-8,366,000","-6,747,000",Financials in USD,Fiscal year is November - October
Preferred Dividends & Other Adjustments,-,-,-,-,"1,096,000","1,273,000","1,175,000","1,234,000","993,000","1,221,000",Financials in USD,Fiscal year is November - October
Net Income to Common,"-15,299,000","-14,148,000","-14,984,000","-10,711,000","-83,593,000","-5,993,000","-6,457,000","-8,652,000","-9,359,000","-7,968,000",Financials in USD,Fiscal year is November - October
Shares Outstanding (Basic),"44,435,083","44,168,986","39,443,768","23,197,976","708,872","701,323","694,497","651,074","3,688,872","3,643,694",Financials in USD,Fiscal year is November - October
Shares Outstanding (Diluted),"44,435,083","44,168,986","39,443,768","23,197,976","708,872","701,323","694,497","651,074","3,688,872","3,643,694",Financials in USD,Fiscal year is November - October
Shares Change (YoY),6168.421%,6197.952%,5579.473%,3463.032%,-80.784%,-80.752%,-,-,-,-,Financials in USD,Fiscal year is November - October
EPS (Basic),-0.344,-0.320,-0.380,-0.462,-117.924,-8.545,-9.297,-13.289,-2.537,-2.187,Financials in USD,Fiscal year is November - October
EPS (Diluted),-0.344,-0.320,-0.380,-0.462,-117.924,-8.545,-9.297,-13.289,-2.537,-2.187,Financials in USD,Fiscal year is November - October
Free Cash Flow,"-19,806,000","-7,183,000","-14,341,000","-7,876,000","-6,914,000","-7,457,000","-4,454,000","-6,236,000","-5,462,000",-,Financials in USD,Fiscal year is November - October
Free Cash Flow Per Share,-0.446,-0.163,-0.364,-0.340,-9.754,-10.633,-6.413,-9.578,-1.481,-,Financials in USD,Fiscal year is November - October
EBITDA,"-17,432,250","-16,677,000","-17,232,000","-10,693,000","-10,393,000","-6,205,000","-4,700,000","-4,587,000","-6,487,000","-5,244,000",Financials in USD,Fiscal year is November - October
D&A For EBITDA,"22,750","82,000","78,000","80,000","49,000","43,000","37,000","46,000","52,000","62,000",Financials in USD,Fiscal year is November - October
EBIT,"-17,455,000","-16,759,000","-17,310,000","-10,773,000","-10,442,000","-6,248,000","-4,737,000","-4,633,000","-6,539,000","-5,306,000",Financials in USD,Fiscal year is November - October
