Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2015,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2015,,
Revenue,"99,000",-,"134,000","571,000","365,000","236,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),607.143%,-,-76.532%,56.438%,54.661%,-52.800%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"90,000",-,"101,000","373,000","300,000","210,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"9,000",-,"33,000","198,000","65,000","26,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","4,932,000","4,430,000","7,710,000","5,690,000","4,851,000","4,281,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"4,298,000","4,510,000","5,848,000","6,771,000","6,382,000","7,199,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,"-10,000","-49,000","-51,000","-46,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"9,220,000","8,891,000","13,507,000","12,415,000","11,233,000","11,480,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-9,211,000","-8,891,000","-13,474,000","-12,217,000","-11,168,000","-11,454,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,"-28,000","-84,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,"-29,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"31,000","31,000","83,000",-,-,"743,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-9,178,000","-8,860,000","-13,391,000","-12,246,000","-11,196,000","-10,795,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"457,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-9,178,000","-8,860,000","-12,934,000","-12,246,000","-11,196,000","-10,795,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,"29,000","137,000","-59,000","20,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-9,178,000","-8,889,000","-13,071,000","-12,187,000","-11,216,000","-10,795,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-9,178,000","-8,889,000","-13,071,000","-12,187,000","-11,216,000","-10,795,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"35,271,311","29,007,794","28,808,090","26,133,770","18,417,093","12,146,729",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"35,271,311","29,007,794","28,808,090","26,133,770","18,417,093","12,146,729",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),22.421%,0.693%,10.233%,41.900%,51.622%,52.150%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.260,-0.306,-0.454,-0.466,-0.609,-0.889,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.260,-0.306,-0.454,-0.466,-0.609,-0.890,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-7,973,000","-7,327,000","-12,546,000","-9,080,000","-10,610,000","-8,959,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.226,-0.253,-0.436,-0.347,-0.576,-0.738,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,9.091%,-,24.627%,34.676%,17.808%,11.017%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-9304.040%,-,-10055.224%,-2139.580%,-3059.726%,-4853.390%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-9270.707%,-,-9754.478%,-2134.326%,-3072.877%,-4574.153%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-8053.535%,-,-9362.687%,-1590.193%,-2906.849%,-3796.186%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-9,163,000","-8,835,000","-13,410,000","-12,164,000","-11,105,000","-11,346,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"48,000","56,000","64,000","53,000","63,000","108,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-9,211,000","-8,891,000","-13,474,000","-12,217,000","-11,168,000","-11,454,000",Upgrade,Financials in USD,Fiscal year is January - December
