Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"598,000","68,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"162,000","236,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"436,000","-168,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","15,948,000","14,587,000","16,835,000","14,724,000","3,297,000","3,721,490",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"4,806,000","5,920,000","10,392,000","12,705,000","3,951,000","5,156,266",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"20,754,000","20,507,000","27,227,000","27,429,000","7,248,000","8,877,756",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-20,318,000","-20,675,000","-27,227,000","-27,429,000","-7,248,000","-8,877,756",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-3,795,000","-614,000","-30,000","-74,000","-43,000","-59,298",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"138,000","138,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-145,000","-119,000","9,894,000","-1,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-24,120,000","-21,270,000","-17,363,000","-27,504,000","-7,291,000","-8,937,054",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,"-5,765,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,"-59,000","-941,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"-9,648,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-20,798,000","118,000","-240,000","974,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-44,918,000","-21,671,000","-24,534,000","-122,481,000","-7,291,000","-8,937,054",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"15,000","-3,000","45,000","64,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-44,933,000","-21,668,000","-24,579,000","-122,545,000","-7,291,000","-8,937,054",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"16,000","16,000","16,000","16,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-44,949,000","-21,684,000","-24,595,000","-122,561,000","-7,291,000","-8,937,054",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"5,410,750","5,314,000","3,051,000","2,165,000","879,400",-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"5,410,750","5,314,000","3,051,000","2,165,000","879,400",-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),11.092%,74.172%,40.924%,146.191%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-8.307,-4.081,-8.061,-56.610,-8.291,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-8.307,-4.081,-8.061,-56.610,-8.291,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-17,340,000","-20,427,000","-21,273,000","-23,642,000","-8,140,000","-10,406,362",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-3.205,-3.844,-6.972,-10.920,-9.256,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,72.910%,-247.059%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-3397.659%,-30404.412%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-7516.555%,-31888.235%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-2899.666%,-30039.706%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-20,176,000","-20,591,000","-27,066,000","-27,312,000","-7,150,000","-8,857,349",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"142,000","84,000","161,000","117,000","98,000","20,407",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-20,318,000","-20,675,000","-27,227,000","-27,429,000","-7,248,000","-8,877,756",Upgrade,Financials in USD,Fiscal year is January - December
