Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q3 2019,+2 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Sep '19 Sep 30, 2019",+2 Quarters,,
Revenue,"487,000","47,000","47,000","17,000","51,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),854.902%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"-60,000","95,000","61,000","66,000","120,000",-,"50,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"547,000","-48,000","-14,000","-49,000","-69,000",-,"-50,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,381,000","3,896,000","4,315,000","4,506,000","4,049,000","2,590,000","3,592,000","3,547,000","3,341,000","5,433,000","4,514,000","4,273,000","4,247,000","4,581,000","1,623,000","555,348","1,084,057","1,034,120","1,053,505","1,117,603",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"1,001,000","987,000","1,458,000","1,210,000","1,387,000","1,499,000","1,674,000","1,962,000","4,963,000","1,685,000","1,782,000","4,249,000","1,491,000","5,432,000","1,533,000","1,651,331","923,529","985,081","-38,971","878,258",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"4,382,000","4,883,000","5,773,000","5,716,000","5,436,000","4,089,000","5,266,000","5,509,000","8,304,000","7,118,000","6,296,000","8,522,000","5,738,000","10,013,000","3,156,000","2,206,679","2,007,586","2,019,201","1,014,534","1,995,861",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-3,835,000","-4,931,000","-5,787,000","-5,765,000","-5,505,000","-4,089,000","-5,316,000","-5,509,000","-8,304,000","-7,118,000","-6,296,000","-8,522,000","-5,738,000","-10,013,000","-3,156,000","-2,206,679","-2,007,586","-2,019,201","-1,014,534","-1,995,861",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-1,686,000","-900,000","-800,000","-526,000","-113,000",-,-,"-6,000","-10,000","-13,000","-1,000","-18,000","-20,000","-22,000","-14,000","-11,518","-12,559",-,-,"-14,950",Upgrade,Financials in USD,Fiscal year is January - December
