Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"2,654,186","2,551,366","1,735,490","1,675,994","1,562,860","1,131,368","810,408","796,370","832,100","461,795","418,380","360,571","930,449","236,635","90,421","23,020",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),69.829%,125.512%,114.150%,110.454%,87.821%,144.994%,93.701%,120.864%,-10.570%,95.151%,362.702%,1466.338%,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"104,024","41,478","92,529","59,024","34,908","57,357","50,591","190,084","89,775","67,774","22,760","136,679","58,435","68,253","64,751","86,712",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"2,550,162","2,509,888","1,642,961","1,616,970","1,527,952","1,074,011","759,817","606,286","742,325","394,021","395,620","223,892","872,014","168,382","25,670","-63,692",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,824,142","3,733,450","3,139,536","3,482,328","3,131,389","2,766,077","2,847,940","2,288,861","2,614,488","2,315,175","2,405,075","1,735,524","2,635,161","2,142,149","2,338,295","2,041,548","1,874,578","1,182,872","1,329,834","782,616",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"11,677",-,"4,645","22,560",-,"92,357","66,990","27,207","40,388","191,478","41,717","35,723","81,699","195,229","277,825","103,846","205,032","5,782,094","463,853","641,542",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"3,835,819","3,733,450","3,144,181","3,504,888","3,131,389","2,858,434","2,914,930","2,316,068","2,654,876","2,506,653","2,446,792","1,771,247","2,716,860","2,337,378","2,616,120","2,145,394","2,079,610","6,964,966","1,793,687","1,424,158",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-1,285,657","-1,223,562","-1,501,220","-1,887,918","-1,603,437","-1,784,423","-2,155,113","-1,709,782","-1,912,551","-2,112,632","-2,051,172","-1,547,355","-1,844,846","-2,168,996","-2,590,450","-2,209,086","-2,079,610","-6,964,966","-1,793,687","-1,424,158",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-126,027","-124,657","-124,658","-126,027","-126,028","-124,658","-123,288","-126,027","-126,027","-124,658","-123,288","-126,026","-126,027","-124,658","-123,339","-59,552","-50,528","-2,914",-,-,Upgrade,Financials in USD,Fiscal year is January - December
