Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"539,542,000","637,178,000","425,226,000","479,652,000","471,920,000","469,848,000","408,788,000","423,917,000","411,738,000","419,427,000","355,980,000","451,140,000","328,423,000","385,177,000","270,230,000","270,052,000","231,092,000","259,479,000","226,915,000","240,310,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),14.329%,35.614%,4.021%,13.148%,14.617%,12.021%,14.835%,-6.034%,25.368%,8.892%,31.732%,67.057%,42.118%,48.442%,19.089%,12.377%,-14.947%,7.993%,5.303%,5.122%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"17,328,000","17,667,000","21,256,000","21,753,000","18,774,000","17,705,000","14,315,000","15,920,000","15,305,000","13,481,000","13,203,000","12,917,000","11,874,000","14,884,000","13,198,000","9,037,000","8,725,000","9,221,000","9,289,000","9,620,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"522,214,000","619,511,000","403,970,000","457,899,000","453,146,000","452,143,000","394,473,000","407,997,000","396,433,000","405,946,000","342,777,000","438,223,000","316,549,000","370,293,000","257,032,000","261,015,000","222,367,000","250,258,000","217,626,000","230,690,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","111,801,000","132,015,000","113,984,000","131,441,000","138,144,000","141,723,000","131,397,000","119,251,000","114,983,000","122,759,000","102,863,000","99,311,000","101,558,000","98,495,000","102,351,000","82,439,000","88,185,000","59,791,000","62,940,000","58,026,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"222,570,000","211,147,000","227,689,000","244,670,000","332,585,000","232,570,000","234,246,000","336,824,000","198,837,000","199,481,000","156,671,000","222,268,000","163,370,000","148,790,000","159,288,000","154,279,000","176,762,000","114,933,000","101,877,000","94,448,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"334,371,000","343,162,000","341,673,000","376,111,000","470,729,000","374,293,000","365,643,000","456,075,000","313,820,000","322,240,000","259,534,000","321,579,000","264,928,000","247,285,000","261,639,000","236,718,000","264,947,000","174,724,000","164,817,000","152,474,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"187,843,000","276,349,000","62,297,000","81,788,000","-17,583,000","77,850,000","28,830,000","-48,078,000","82,613,000","83,706,000","83,243,000","116,644,000","51,621,000","123,008,000","-4,607,000","24,297,000","-42,580,000","75,534,000","52,809,000","78,216,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"18,709,000","17,258,000","19,894,000","21,388,000","23,112,000","22,541,000","19,502,000","16,988,000","9,498,000","4,757,000","1,822,000","1,441,000","1,658,000","1,891,000","2,682,000","3,489,000","3,994,000","5,162,000","7,220,000","7,706,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,"-300,000",-,-,-,"300,000",-,-,"400,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
