Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"6,974,000","7,262,000","25,377,000","9,735,000","6,515,000","3,325,000","1,677,000","1,535,000",-,-,-,-,-,-,-,"170,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),7.045%,118.406%,1413.238%,534.202%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"1,357,000","608,000","550,000","685,000","331,000","148,000","95,000","86,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"5,617,000","6,654,000","24,827,000","9,050,000","6,184,000","3,177,000","1,582,000","1,449,000",-,-,-,-,-,-,-,"170,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","10,722,000","11,536,000","11,081,000","10,836,000","7,189,000","7,835,000","6,848,000","7,467,000","7,053,000","3,878,000","2,109,000","3,684,000","2,931,000","3,120,000","2,507,000","2,293,000","4,491,000","3,724,000","2,442,000","2,481,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"97,000","157,000","3,000","32,000","12,000","8,000","4,000","117,000","846,000","1,131,000","1,437,000","523,000","1,242,000","800,000","2,416,000","1,223,000","1,368,000","1,121,000","1,393,000","1,172,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"10,819,000","11,693,000","11,084,000","10,868,000","7,201,000","7,843,000","6,852,000","7,584,000","7,899,000","5,009,000","3,546,000","4,207,000","4,173,000","3,920,000","4,923,000","3,516,000","5,859,000","4,845,000","3,835,000","3,653,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-5,202,000","-5,039,000","13,743,000","-1,818,000","-1,017,000","-4,666,000","-5,270,000","-6,135,000","-7,899,000","-5,009,000","-3,546,000","-4,207,000","-4,173,000","-3,920,000","-4,923,000","-3,346,000","-5,859,000","-4,845,000","-3,835,000","-3,653,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-1,046,000","-1,067,000","-1,054,000","-985,000","-928,000","-898,000","-870,000","-814,000","-183,000","-65,000","-65,000","-70,000","-63,000","-9,000","-4,000","-9,000","-355,000","-30,000","-17,000","-18,000",Upgrade,Financials in USD,Fiscal year is January - December
