Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"493,671,000","399,356,000","329,233,000","305,514,000","260,886,000","182,237,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),32.575%,21.299%,7.764%,17.106%,43.158%,99.723%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"49,431,000","37,326,000","38,599,000","34,466,000","31,044,000","21,963,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"444,240,000","362,030,000","290,634,000","271,048,000","229,842,000","160,274,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","306,950,000","275,270,000","213,041,000","192,710,000","156,407,000","169,861,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"114,201,000","152,381,000","276,677,000","272,049,000","308,443,000","286,378,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"429,839,000","435,524,000","495,060,000","470,968,000","473,696,000","461,014,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"14,401,000","-73,494,000","-204,426,000","-199,920,000","-243,854,000","-300,740,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-50,467,000","-50,149,000","-37,119,000","-32,471,000","-22,425,000","-18,872,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"5,662,000","7,078,000","3,024,000","509,000","3,226,000","10,249,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-14,825,000","-15,886,000","4,176,000","-2,901,000","-781,000","-2,626,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-45,229,000","-132,451,000","-234,345,000","-234,783,000","-263,834,000","-311,989,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-9,188,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,"-1,134,000","-6,616,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-13,933,000","-16,516,000","-1,078,000","-6,771,000","-10,420,000","-43,921,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-68,350,000","-150,101,000","-242,039,000","-241,554,000","-274,254,000","-355,910,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"36,338,000","1,483,000","-5,471,000","8,906,000","2,598,000","478,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-104,688,000","-151,584,000","-236,568,000","-250,460,000","-276,852,000","-356,388,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-104,688,000","-151,584,000","-236,568,000","-250,460,000","-276,852,000","-356,388,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"303,023,249","295,164,515","289,057,198","271,421,986","258,867,380","240,421,001",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"303,023,249","295,164,515","289,057,198","271,421,986","258,867,380","240,421,001",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),3.629%,2.113%,6.497%,4.850%,7.673%,29.405%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.345,-0.514,-0.818,-0.923,-1.069,-1.482,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.345,-0.514,-0.820,-0.923,-1.070,-1.482,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-31,513,000","-76,531,000","-170,341,000","-206,375,000","-236,517,000","-270,428,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.104,-0.259,-0.589,-0.760,-0.914,-1.125,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,89.987%,90.653%,88.276%,88.719%,88.100%,87.948%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,2.917%,-18.403%,-62.092%,-65.437%,-93.471%,-165.027%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-21.206%,-37.957%,-71.854%,-81.980%,-106.120%,-195.563%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-6.383%,-19.164%,-51.739%,-67.550%,-90.659%,-148.394%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"23,089,000","-65,621,000","-199,084,000","-193,711,000","-235,008,000","-295,965,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,4.677%,-16.432%,-60.469%,-63.405%,-90.081%,-162.407%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"8,688,000","7,873,000","5,342,000","6,209,000","8,846,000","4,775,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"14,401,000","-73,494,000","-204,426,000","-199,920,000","-243,854,000","-300,740,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,2.917%,-18.403%,-62.091%,-65.437%,-93.471%,-165.027%,Upgrade,Financials in USD,Fiscal year is January - December
