Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"141,517,000","126,669,000","110,403,000","115,082,000","103,501,000","94,503,000","86,270,000","88,096,000","81,691,000","80,731,000","78,715,000","82,154,000","79,545,000","77,413,000","66,402,000","70,571,000","67,437,000","62,353,000","60,525,000","55,293,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),36.730%,34.037%,27.974%,30.632%,26.698%,17.059%,9.598%,7.233%,2.698%,4.286%,18.543%,16.413%,17.955%,24.153%,9.710%,27.631%,38.281%,41.294%,77.774%,69.382%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"13,279,000","11,261,000","13,567,000","11,324,000","9,946,000","9,114,000","6,942,000","9,384,000","13,436,000","8,197,000","7,582,000","7,851,000","11,696,000","8,380,000","6,539,000","9,417,000","8,399,000","6,676,000","6,552,000","6,945,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"128,238,000","115,408,000","96,836,000","103,758,000","93,555,000","85,389,000","79,328,000","78,712,000","68,255,000","72,534,000","71,133,000","74,303,000","67,849,000","69,033,000","59,863,000","61,154,000","59,038,000","55,677,000","53,973,000","48,348,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","75,106,000","73,576,000","88,029,000","70,239,000","65,651,000","65,423,000","73,957,000","54,274,000","47,272,000","53,379,000","58,116,000","57,601,000","46,107,000","42,276,000","46,726,000","43,685,000","37,850,000","34,657,000","40,215,000","43,300,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"26,160,000","24,683,000","28,329,000","35,029,000","40,704,000","35,149,000","41,499,000","63,871,000","52,970,000","78,319,000","81,517,000","85,596,000","59,333,000","63,003,000","64,117,000","79,293,000","70,419,000","69,611,000","89,120,000","91,912,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"103,436,000","100,441,000","118,512,000","107,450,000","108,583,000","102,778,000","116,713,000","119,456,000","101,528,000","133,032,000","141,044,000","144,715,000","106,960,000","106,846,000","112,447,000","125,525,000","110,765,000","106,307,000","131,099,000","136,726,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"24,802,000","14,967,000","-21,676,000","-3,692,000","-15,028,000","-17,389,000","-37,385,000","-40,744,000","-33,273,000","-60,498,000","-69,911,000","-70,412,000","-39,111,000","-37,813,000","-52,584,000","-64,371,000","-51,727,000","-50,630,000","-77,126,000","-88,378,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-12,692,000","-12,512,000","-12,436,000","-12,827,000","-12,986,000","-12,492,000","-11,844,000","-11,095,000","-9,620,000","-8,257,000","-8,147,000","-8,164,000","-8,165,000","-8,150,000","-7,992,000","-8,277,000","-6,784,000","-3,635,000","-3,729,000","-3,767,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,081,000","1,370,000","1,540,000","1,671,000","1,471,000","1,737,000","2,199,000","1,972,000","563,000","356,000","133,000","186,000","108,000","50,000","165,000","328,000","518,000","865,000","1,515,000","2,259,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-3,263,000","-3,717,000","-4,966,000","-2,879,000","3,833,000","-10,902,000","-5,938,000","-18,628,000","13,634,000","7,268,000","1,902,000","-172,000","237,000","234,000","-3,200,000","-810,000","3,019,000","5,326,000","-8,316,000","646,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"9,928,000","108,000","-37,538,000","-17,727,000","-22,710,000","-39,046,000","-52,968,000","-68,495,000","-28,696,000","-61,131,000","-76,023,000","-78,562,000","-46,931,000","-45,679,000","-63,611,000","-73,130,000","-54,974,000","-48,074,000","-87,656,000","-89,240,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-3,143,000",-,"-6,045,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,"-1,134,000",-,-,-,-,"-6,616,000",-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-13,933,000","-1,995,000","-337,000","-251,000","-1,584,000","-567,000","-115,000","1,188,000","-1,734,000","-3,545,000","-1,021,000","-471,000","-464,000","-8,310,000","-715,000","-931,000","-645,000",Upgrade,Financials in USD,Fiscal year is January - December
