Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020",,
Revenue,"2,975,600,000","3,109,000,000","3,096,100,000","3,057,500,000","2,580,300,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),2.802%,0.417%,1.262%,18.494%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"2,520,700,000","2,588,600,000","2,447,400,000","2,453,100,000","2,091,200,000",Financials in USD,Fiscal year is January - December
Gross Profit,"454,900,000","520,400,000","648,700,000","604,400,000","489,100,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","427,800,000","336,600,000","279,800,000","303,100,000","267,600,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"521,600,000","433,000,000","372,500,000","411,800,000","372,200,000",Financials in USD,Fiscal year is January - December
Operating Income,"-66,700,000","87,400,000","276,200,000","192,600,000","116,900,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-136,500,000","-69,800,000","-200,000","-200,000",-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-4,900,000","900,000","-900,000","20,200,000","-18,800,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"17,400,000","6,900,000","2,200,000","2,100,000","800,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-190,700,000","25,400,000","277,300,000","214,700,000","98,900,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-32,500,000","-24,300,000","-30,500,000","-20,700,000","-11,000,000",Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,"-405,700,000",Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,"-9,800,000","-57,600,000","-14,400,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-223,200,000","1,100,000","237,000,000","136,400,000","-332,200,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"-5,300,000","4,500,000","44,100,000","38,400,000","27,000,000",Financials in USD,Fiscal year is January - December
Net Income,"-300,000,000","-3,400,000","192,900,000","98,000,000","-359,200,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-300,000,000","-3,400,000","192,900,000","98,000,000","-359,200,000",Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,96.837%,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"89,250,000","88,800,000","88,800,000","88,800,000",-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"89,250,000","88,800,000","88,800,000","88,800,000",-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.337%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.361,-0.038,2.172,1.104,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.363,-0.040,2.170,1.100,-,Financials in USD,Fiscal year is January - December
EPS Growth,-,-,97.273%,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"225,000,000","127,100,000","33,100,000","143,300,000","176,900,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,2.521,1.431,0.373,1.614,-,Financials in USD,Fiscal year is January - December
Gross Margin,15.288%,16.738%,20.952%,19.768%,18.955%,Financials in USD,Fiscal year is January - December
Operating Margin,-2.242%,2.811%,8.921%,6.299%,4.530%,Financials in USD,Fiscal year is January - December
Profit Margin,-10.082%,-0.109%,6.230%,3.205%,-13.921%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,7.562%,4.088%,1.069%,4.687%,6.856%,Financials in USD,Fiscal year is January - December
EBITDA,"27,100,000","183,800,000","368,900,000","301,300,000","235,900,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,0.911%,5.912%,11.915%,9.854%,9.142%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"93,800,000","96,400,000","92,700,000","108,700,000","119,000,000",Financials in USD,Fiscal year is January - December
EBIT,"-66,700,000","87,400,000","276,200,000","192,600,000","116,900,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-2.241%,2.811%,8.921%,6.299%,4.530%,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,409.091%,18.608%,28.152%,-,Financials in USD,Fiscal year is January - December
