Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022",,
Revenue,"674,900,000","662,400,000","662,100,000","775,400,000","713,800,000","725,100,000","693,900,000","761,700,000","762,300,000","793,100,000","779,000,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-5.450%,-8.647%,-4.583%,1.799%,-6.362%,-8.574%,-10.924%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"526,600,000","525,300,000","554,200,000","655,700,000","563,800,000","568,700,000","541,500,000","599,800,000","594,800,000","614,300,000","638,100,000",Financials in USD,Fiscal year is January - December
Gross Profit,"148,300,000","137,100,000","107,900,000","119,700,000","150,000,000","156,400,000","152,400,000","161,900,000","167,500,000","178,800,000","140,900,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","136,300,000","156,200,000","120,100,000","98,900,000","106,800,000","97,800,000","116,800,000","63,300,000","70,700,000","71,200,000","75,000,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"157,500,000","177,600,000","142,000,000","122,800,000","129,600,000","121,200,000","137,700,000","86,300,000","93,400,000","94,600,000","98,600,000",Financials in USD,Fiscal year is January - December
Operating Income,"-9,200,000","-40,500,000","-34,100,000","-3,100,000","20,400,000","35,200,000","14,700,000","75,600,000","74,100,000","84,200,000","42,300,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-22,400,000","-45,200,000","-34,300,000","-34,500,000","-34,600,000","-700,000",-,"-200,000",-,-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,"100,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-200,000","-1,500,000","-5,300,000","1,900,000","-1,200,000","5,200,000","-5,200,000","-22,000,000","4,800,000","12,000,000","4,300,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"4,800,000","9,000,000","1,300,000","2,300,000","3,600,000","500,000","500,000","800,000","500,000","400,000","500,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-27,000,000","-78,200,000","-72,400,000","-33,400,000","-11,800,000","40,200,000","10,100,000","54,200,000","79,400,000","96,600,000","47,100,000",Financials in USD,Fiscal year is January - December
