Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2017,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2017,,
Revenue,"80,871,000","2,805,000","6,342,000","19,163,000","8,823,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),2987.858%,-55.771%,-66.905%,117.194%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"70,672,000","71,801,000","76,782,000","69,701,000","59,042,000","71,072,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"10,199,000","-68,996,000","-70,440,000","-50,538,000","-50,219,000","-71,072,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","38,596,000","41,668,000","41,694,000","30,516,000","21,392,000","13,145,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"38,596,000","41,668,000","41,694,000","30,516,000","21,392,000","13,145,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-28,397,000","-110,664,000","-112,134,000","-81,054,000","-71,611,000","-84,217,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"12,547,000","13,329,000","2,690,000","207,000","792,000","1,540,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-15,850,000","-97,335,000","-109,444,000","-80,847,000","-70,819,000","-82,677,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-2,063,000",-,"-427,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-17,913,000","-97,335,000","-109,871,000","-80,847,000","-70,819,000","-82,677,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-17,913,000","-97,335,000","-109,871,000","-80,847,000","-70,819,000","-82,677,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,"7,128,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-17,913,000","-97,335,000","-109,871,000","-80,847,000","-70,819,000","-89,805,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"62,119,250","61,310,000","44,991,000","35,361,000","25,354,000","11,046,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"62,119,250","61,310,000","44,991,000","35,361,000","25,354,000","11,046,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),5.502%,36.272%,27.233%,39.469%,129.531%,778.759%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.288,-1.588,-2.442,-2.286,-2.793,-8.130,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.288,-1.588,-2.442,-2.286,-2.793,-8.130,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-8,739,000","-91,473,000","-99,013,000","-80,191,000","-54,997,000","-40,427,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.141,-1.492,-2.201,-2.268,-2.169,-3.660,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,12.611%,-,-,-263.727%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-35.114%,-3945.241%,-1768.117%,-422.971%,-811.640%,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-22.150%,-3470.053%,-1732.435%,-421.891%,-802.663%,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-10.806%,-3261.070%,-1561.227%,-418.468%,-623.337%,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-26,665,000","-108,492,000","-109,720,000","-78,539,000","-69,232,000","-82,164,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,732,000","2,172,000","2,414,000","2,515,000","2,379,000","2,053,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-28,397,000","-110,664,000","-112,134,000","-81,054,000","-71,611,000","-84,217,000",Upgrade,Financials in USD,Fiscal year is January - December
